Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
1990-12-31,VPACX,1168.838275024794,0.0,8.55,0.0,9993,0,32.28
1991-01-02,VPACX,1168.838275024794,0.0,8.62,0.0,10075,0,31.93
1991-01-03,VPACX,1168.838275024794,0.0,8.7,0.0,10168,0,31.5
1991-01-04,VPACX,1168.838275024794,0.0,8.63,0.0,10087,0,31.43
1991-01-07,VPACX,1168.838275024794,0.0,8.48,0.0,9911,0,30.91
1991-01-08,VPACX,1168.838275024794,0.0,8.26,0.0,9654,0,30.86
1991-01-09,VPACX,1168.838275024794,0.0,8.22,0.0,9607,0,30.54
1991-01-10,VPACX,1168.838275024794,0.0,8.42,0.0,9841,0,30.82
1991-01-11,VPACX,1168.838275024794,0.0,8.5,0.0,9935,0,30.89
1991-01-14,VPACX,1168.838275024794,0.0,8.43,0.0,9853,0,30.64
1991-01-15,VPACX,1168.838275024794,0.0,8.4,0.0,9818,0,30.75
1991-01-16,VPACX,1168.838275024794,0.0,8.12,0.0,9490,0,30.99
1991-01-17,VPACX,1168.838275024794,0.0,8.72,0.0,10192,0,32.11
1991-01-18,VPACX,1168.838275024794,0.0,8.84,0.0,10332,0,32.5
1991-01-21,VPACX,1168.838275024794,0.0,8.68,0.0,10145,0,32.4
1991-01-22,VPACX,1168.838275024794,0.0,8.66,0.0,10122,0,32.14
1991-01-23,VPACX,1168.838275024794,0.0,8.61,0.0,10063,0,32.32
1991-01-24,VPACX,1168.838275024794,0.0,8.7,0.0,10168,0,32.75
1991-01-25,VPACX,1168.838275024794,0.0,8.8,0.0,10285,0,32.88
1991-01-28,VPACX,1168.838275024794,0.0,8.86,0.0,10355,0,32.88
1991-01-29,VPACX,1168.838275024794,0.0,8.8,0.0,10285,0,32.87
1991-01-30,VPACX,1168.838275024794,0.0,8.78,0.0,10262,0,33.35
1991-01-31,VFINX,315.98115646711926,0.0,32.6,0.0,10300,0,33.64
1991-02-01,VFINX,315.98115646711926,0.0,32.52,0.0,10275,0,33.56
1991-02-04,VFINX,315.98115646711926,0.0,33.04,0.0,10440,0,34.08
1991-02-05,VFINX,315.98115646711926,0.0,33.33,0.0,10531,0,34.37
1991-02-06,VFINX,315.98115646711926,0.0,33.98,0.0,10737,0,35.019999999999996
1991-02-07,VFINX,315.98115646711926,0.0,33.84,0.0,10692,0,34.88
1991-02-08,VFINX,315.98115646711926,0.0,34.11,0.0,10778,0,35.15
1991-02-11,VFINX,315.98115646711926,0.0,35.0,0.0,11059,0,36.04
1991-02-12,VFINX,315.98115646711926,0.0,34.72,0.0,10970,0,35.76
1991-02-13,VFINX,315.98115646711926,0.0,35.05,0.0,11075,0,36.089999999999996
1991-02-14,VFINX,315.98115646711926,0.0,34.61,0.0,10936,0,35.65
1991-02-15,VFINX,315.98115646711926,0.0,35.07,0.0,11081,0,36.11
1991-02-19,VFINX,315.98115646711926,0.0,35.1,0.0,11090,0,36.14
1991-02-20,VFINX,315.98115646711926,0.0,34.7,0.0,10964,0,35.74
1991-02-21,VFINX,315.98115646711926,0.0,34.68,0.0,10958,0,35.72
1991-02-22,VFINX,315.98115646711926,0.0,34.76,0.0,10983,0,35.8
1991-02-25,VFINX,315.98115646711926,0.0,34.92,0.0,11034,0,35.96
1991-02-26,VFINX,315.98115646711926,0.0,34.51,0.0,10904,0,35.55
1991-02-27,VFINX,315.98115646711926,0.0,34.97,0.0,11049,0,36.01
1991-02-28,VPACX,1126.264062946309,0.0,9.79,0.0,11026,0,35.96
1991-03-01,VPACX,1126.264062946309,0.0,9.52,0.0,10722,0,36.28
