Date,On_Ticker_SPY,On_Price_SPY,On_Shares_SPY,On_Dividend_SPY,On_Ticker_DIA,On_Price_DIA,On_Shares_DIA,On_Dividend_DIA,Off_Ticker_TLT,Off_Price_TLT,Off_Shares_TLT,Off_Dividend_TLT,Cash_x,Capital_x,InOutCash_x,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Cash_y,Capital_y,InOutCash_y,Capital,Bench
2008-01-02,0,146.53,57.03961106283368,0.0,0,132.47,94.64253275123069,0.0,0,93.25,97.61972629927564,0.0,0.0,29998,0,TLT,600.5007726642181,0.0,93.25,GLD,167.533251633107,0.0,83.56,0.0,69995,0,99993,38.16
2008-01-03,0,144.91,57.03961106283368,0.0,0,130.71,94.64253275123069,0.0,0,94.0,97.61972629927564,0.0,0.0,29812,0,TLT,600.5007726642181,0.0,94.0,GLD,167.533251633107,0.0,84.87,0.0,70665,0,100477,38.17
2008-01-04,0,143.34,57.03961106283368,0.0,0,129.57,94.64253275123069,0.0,0,94.5,97.61972629927564,0.0,0.0,29663,0,TLT,600.5007726642181,0.0,94.5,GLD,167.533251633107,0.0,85.34,0.0,71044,0,100707,38.27
2008-01-07,0,141.81,57.03961106283368,0.0,0,128.54,94.64253275123069,0.0,0,94.18,97.61972629927564,0.0,0.0,29447,0,TLT,600.5007726642181,0.0,94.18,GLD,167.533251633107,0.0,85.24,0.0,70835,0,100282,37.62
2008-01-08,0,142.08,57.03961106283368,0.0,0,128.53,94.64253275123069,0.0,0,94.44,97.61972629927564,0.0,0.0,29487,0,TLT,600.5007726642181,0.0,94.44,GLD,167.533251633107,0.0,86.28,0.0,71166,0,100653,37.98
2008-01-09,0,139.09,57.03961106283368,0.0,0,126.12,94.64253275123069,0.0,0,94.79,97.61972629927564,0.0,0.0,29123,0,TLT,600.5007726642181,0.0,94.79,GLD,167.533251633107,0.0,86.56,0.0,71423,0,100546,39.12
2008-01-10,0,139.68,57.03961106283368,0.0,0,126.52,94.64253275123069,0.0,0,94.87,97.61972629927564,0.0,0.0,29202,0,TLT,600.5007726642181,0.0,94.87,GLD,167.533251633107,0.0,86.42,0.0,71447,0,100649,38.89
2008-01-11,0,140.78,57.03961106283368,0.0,0,127.52,94.64253275123069,0.0,0,93.52,97.61972629927564,0.0,0.0,29228,0,TLT,600.5007726642181,0.0,93.52,GLD,167.533251633107,0.0,88.04,0.0,70908,0,100136,38.64
2008-01-14,0,141.16,57.03961106283368,0.0,0,127.28,94.64253275123069,0.0,0,94.2,97.61972629927564,0.0,0.0,29293,0,TLT,600.5007726642181,0.0,94.2,GLD,167.533251633107,0.0,89.45,0.0,71553,0,100846,38.27
2008-01-15,0,139.79,57.03961106283368,0.0,0,126.49,94.64253275123069,0.0,0,95.16,97.61972629927564,0.0,0.0,29234,0,TLT,600.5007726642181,0.0,95.16,GLD,167.533251633107,0.0,89.6,0.0,72154,0,101388,37.9
2008-01-16,0,137.36,57.03961106283368,0.0,0,124.64,94.64253275123069,0.0,0,95.68,97.61972629927564,0.0,0.0,28971,0,TLT,600.5007726642181,0.0,95.68,GLD,167.533251633107,0.0,88.17,0.0,72227,0,101198,37.79
2008-01-17,0,137.81,57.03961106283368,0.0,0,125.05,94.64253275123069,0.0,0,94.96,97.61972629927564,0.0,0.0,28965,0,TLT,600.5007726642181,0.0,94.96,GLD,167.533251633107,0.0,87.5,0.0,71682,0,100647,37.28
2008-01-18,0,134.74,57.03961106283368,0.0,0,122.33,94.64253275123069,0.14,0,95.55,97.61972629927564,0.0,0.0,28590,0,TLT,600.5007726642181,0.0,95.55,GLD,167.533251633107,0.0,87.17,0.0,71981,0,100571,37.56
2008-01-22,0,127.21,57.03961106283368,0.0,0,116.31,94.64253275123069,0.0,0,96.41,97.61972629927564,0.0,0.0,27675,0,TLT,600.5007726642181,0.0,96.41,GLD,167.533251633107,0.0,86.14,0.0,72325,0,100000,36.64
2008-01-23,0,127.09,57.03961106283368,0.0,0,117.24,94.64253275123069,0.0,0,97.98,97.61972629927564,0.0,0.0,27909,0,TLT,600.5007726642181,0.0,97.98,GLD,167.533251633107,0.0,87.16,0.0,73439,0,101348,36.3
2008-01-24,0,134.48,57.03961106283368,0.0,0,122.9,94.64253275123069,0.0,0,95.55,97.61972629927564,0.0,0.0,28629,0,TLT,600.5007726642181,0.0,95.55,GLD,167.533251633107,0.0,89.72,0.0,72408,0,101037,35.95
