Date,On_Price_QQQ,On_Shares_QQQ,On_Dividend_QQQ,On_Price_EEM,On_Shares_EEM,On_Dividend_EEM,Off_Price_IEF,Off_Shares_IEF,Off_Dividend_IEF,Cash,Capital,InOutCash,Bench
2003-05-30,29.79,67.42322033318904,0.0,12.79,39.227672668602445,0.0,89.31,83.84380621255036,0.0,0.0,9998,0,29.79
2003-06-02,29.58,67.42322033318904,0.0,12.88,39.227672668602445,0.0,88.72,83.84380621255036,0.244,0.0,9938,0,29.58
2003-06-03,29.86,67.42322033318904,0.0,12.78,39.227672668602445,0.0,89.31,83.84380621255036,0.0,0.0,10002,0,29.86
2003-06-04,30.42,67.42322033318904,0.0,12.94,39.227672668602445,0.0,89.57,83.84380621255036,0.0,0.0,10068,0,30.42
2003-06-05,30.64,67.42322033318904,0.0,12.96,39.227672668602445,0.0,89.25,83.84380621255036,0.0,0.0,10057,0,30.64
2003-06-06,30.13,67.42322033318904,0.0,13.08,39.227672668602445,0.0,89.15,83.84380621255036,0.0,0.0,10019,0,30.13
2003-06-09,29.73,67.42322033318904,0.0,12.97,39.227672668602445,0.0,89.64,83.84380621255036,0.0,0.0,10029,0,29.73
2003-06-10,30.18,67.42322033318904,0.0,13.1,39.227672668602445,0.0,90.14,83.84380621255036,0.0,0.0,10106,0,30.18
2003-06-11,30.52,67.42322033318904,0.0,13.11,39.227672668602445,0.0,89.95,83.84380621255036,0.0,0.0,10113,0,30.52
2003-06-12,30.65,67.42322033318904,0.0,13.21,39.227672668602445,0.0,90.3,83.84380621255036,0.0,0.0,10155,0,30.65
2003-06-13,29.96,67.42322033318904,0.0,13.21,39.227672668602445,0.0,90.63,83.84380621255036,0.0,0.0,10136,0,29.96
2003-06-16,30.88,67.42322033318904,0.0,13.35,39.227672668602445,0.0,90.16,83.84380621255036,0.0,0.0,10165,0,30.88
2003-06-17,30.76,67.42322033318904,0.0,13.62,39.227672668602445,0.0,89.67,83.84380621255036,0.0,0.0,10126,0,30.76
2003-06-18,30.92,67.42322033318904,0.0,13.57,39.227672668602445,0.0,89.13,83.84380621255036,0.0,0.0,10090,0,30.92
2003-06-19,30.42,67.42322033318904,0.0,13.57,39.227672668602445,0.0,89.26,83.84380621255036,0.0,0.0,10067,0,30.42
2003-06-20,30.38,67.42322033318904,0.0,13.57,39.227672668602445,0.0,89.12,83.84380621255036,0.0,0.0,10052,0,30.38
2003-06-23,29.91,67.42322033318904,0.0,13.24,39.227672668602445,0.0,89.46,83.84380621255036,0.0,0.0,10036,0,29.91
2003-06-24,29.68,67.42322033318904,0.0,13.14,39.227672668602445,0.0,89.88,83.84380621255036,0.0,0.0,10052,0,29.68
2003-06-25,29.52,67.42322033318904,0.0,13.25,39.227672668602445,0.0,89.2,83.84380621255036,0.0,0.0,9988,0,29.52
2003-06-26,30.22,67.42322033318904,0.0,13.39,39.227672668602445,0.0,88.32,83.84380621255036,0.0,0.0,9967,0,30.22
2003-06-27,29.83,67.42322033318904,0.0,13.33,39.227672668602445,0.0,88.24,83.84380621255036,0.0,0.0,9932,0,29.83
2003-06-30,29.95,74.64442777523521,0.0,13.32,41.959470943473995,0.0,88.45,81.17675571999756,0.0,0.0,9974,0,29.95
2003-07-01,30.35,74.64442777523521,0.0,13.47,41.959470943473995,0.0,88.02,81.17675571999756,0.6629999999999999,0.0,9975,0,30.35
2003-07-02,30.97,74.64442777523521,0.0,13.78,41.959470943473995,0.0,88.11,81.17675571999756,0.0,0.0,10042,0,30.97
2003-07-03,30.58,74.64442777523521,0.0,13.82,41.959470943473995,0.0,87.55,81.17675571999756,0.0,0.0,9969,0,30.58
2003-07-07,31.89,74.64442777523521,0.0,14.16,41.959470943473995,0.0,87.08,81.17675571999756,0.0,0.0,10043,0,31.89
2003-07-08,32.28,74.64442777523521,0.0,14.2,41.959470943473995,0.0,87.11,81.17675571999756,0.0,0.0,10076,0,32.28
2003-07-09,32.2,74.64442777523521,0.0,14.17,41.959470943473995,0.0,87.27,81.17675571999756,0.0,0.0,10082,0,32.2
2003-07-10,31.6,74.64442777523521,0.0,13.92,41.959470943473995,0.0,87.47,81.17675571999756,0.0,0.0,10043,0,31.6
2003-07-11,31.84,74.64442777523521,0.0,14.04,41.959470943473995,0.0,87.78,81.17675571999756,0.0,0.0,10091,0,31.84
2003-07-14,32.22,74.64442777523521,0.0,14.29,41.959470943473995,0.0,87.27,81.17675571999756,0.0,0.0,10088,0,32.22
2003-07-15,32.26,74.64442777523521,0.0,14.11,41.959470943473995,0.0,86.08,81.17675571999756,0.0,0.0,9987,0,32.26
2003-07-16,32.16,74.64442777523521,0.0,14.12,41.959470943473995,0.0,86.11,81.17675571999756,0.0,0.0,9983,0,32.16
2003-07-17,31.18,74.64442777523521,0.0,13.75,41.959470943473995,0.0,85.93,81.17675571999756,0.0,0.0,9879,0,31.18
2003-07-18,31.28,74.64442777523521,0.0,13.93,41.959470943473995,0.0,85.71,81.17675571999756,0.0,0.0,9877,0,31.28
2003-07-21,30.88,74.64442777523521,0.0,13.75,41.959470943473995,0.0,84.59,81.17675571999756,0.0,0.0,9748,0,30.88
2003-07-22,31.34,74.64442777523521,0.0,13.91,41.959470943473995,0.0,84.89,81.17675571999756,0.0,0.0,9814,0,31.34
2003-07-23,31.6,74.64442777523521,0.0,13.82,41.959470943473995,0.0,85.15,81.17675571999756,0.0,0.0,9850,0,31.6
2003-07-24,31.18,74.64442777523521,0.0,13.89,41.959470943473995,0.0,84.82,81.17675571999756,0.0,0.0,9795,0,31.18
2003-07-25,31.8,74.64442777523521,0.0,14.12,41.959470943473995,0.0,84.71,81.17675571999756,0.0,0.0,9842,0,31.8
2003-07-28,31.89,74.64442777523521,0.0,14.19,41.959470943473995,0.0,84.09,81.17675571999756,0.0,0.0,9801,0,31.89
2003-07-29,31.65,74.64442777523521,0.0,14.11,41.959470943473995,0.0,83.27,81.17675571999756,0.0,0.0,9714,0,31.65
