Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Ticker_3,Shares_3,Dividend_3,Price_3,Cash,Capital,InOutCash,Bench
2017-01-31,QQQ,64.21650477643092,0.0,124.57,TLT,21.64404662781016,0.0,120.1,0,0.0,0.0,0.0,-600.0000000000006,9998,0,132.19299999999998
2017-02-01,QQQ,64.21650477643092,0.0,125.43,TLT,21.64404662781016,0.259,119.1,0,0.0,0.0,0.0,-600.0000000000006,10032,0,133.053
2017-02-02,QQQ,64.21650477643092,0.0,125.32,TLT,21.64404662781016,0.0,119.05,0,0.0,0.0,0.0,-600.0000000000006,10024,0,132.94299999999998
2017-02-03,QQQ,64.21650477643092,0.0,125.68,TLT,21.64404662781016,0.0,119.0,0,0.0,0.0,0.0,-600.0000000000006,10046,0,133.303
2017-02-06,QQQ,64.21650477643092,0.0,125.83,TLT,21.64404662781016,0.0,119.72,0,0.0,0.0,0.0,-600.0000000000006,10071,0,133.453
2017-02-07,QQQ,64.21650477643092,0.0,126.29,TLT,21.64404662781016,0.0,120.6,0,0.0,0.0,0.0,-600.0000000000006,10120,0,133.913
2017-02-08,QQQ,64.21650477643092,0.0,126.5,TLT,21.64404662781016,0.0,122.24,0,0.0,0.0,0.0,-600.0000000000006,10169,0,134.123
2017-02-09,QQQ,64.21650477643092,0.0,126.96,TLT,21.64404662781016,0.0,120.83,0,0.0,0.0,0.0,-600.0000000000006,10168,0,134.583
2017-02-10,QQQ,64.21650477643092,0.0,127.38,TLT,21.64404662781016,0.0,120.76,0,0.0,0.0,0.0,-600.0000000000006,10193,0,135.003
2017-02-13,QQQ,64.21650477643092,0.0,128.1,TLT,21.64404662781016,0.0,120.38,0,0.0,0.0,0.0,-600.0000000000006,10231,0,135.72299999999998
2017-02-14,QQQ,64.21650477643092,0.0,128.53,TLT,21.64404662781016,0.0,119.51,0,0.0,0.0,0.0,-600.0000000000006,10240,0,136.153
2017-02-15,QQQ,64.21650477643092,0.0,129.29,TLT,21.64404662781016,0.0,118.96,0,0.0,0.0,0.0,-600.0000000000006,10277,0,136.91299999999998
2017-02-16,QQQ,64.21650477643092,0.0,129.25,TLT,21.64404662781016,0.0,119.61,0,0.0,0.0,0.0,-600.0000000000006,10288,0,136.873
2017-02-17,QQQ,64.21650477643092,0.0,129.81,TLT,21.64404662781016,0.0,120.32,0,0.0,0.0,0.0,-600.0000000000006,10340,0,137.433
2017-02-21,QQQ,64.21650477643092,0.0,130.45,TLT,21.64404662781016,0.0,120.11,0,0.0,0.0,0.0,-600.0000000000006,10376,0,138.07299999999998
2017-02-22,QQQ,64.21650477643092,0.0,130.5,TLT,21.64404662781016,0.0,120.31,0,0.0,0.0,0.0,-600.0000000000006,10384,0,138.123
2017-02-23,QQQ,64.21650477643092,0.0,130.01,TLT,21.64404662781016,0.0,120.67,0,0.0,0.0,0.0,-600.0000000000006,10360,0,137.63299999999998
2017-02-24,QQQ,64.21650477643092,0.0,130.26,TLT,21.64404662781016,0.0,122.01,0,0.0,0.0,0.0,-600.0000000000006,10405,0,137.88299999999998
2017-02-27,QQQ,64.21650477643092,0.0,130.42,TLT,21.64404662781016,0.0,121.29,0,0.0,0.0,0.0,-600.0000000000006,10400,0,138.04299999999998
