Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Ticker_3,Shares_3,Dividend_3,Price_3,Cash,Capital,InOutCash,Bench
2017-02-28,QQQ,63.91829819886231,0.0,130.02,TLT,22.18632797634488,0.0,121.74,0,0.0,0.0,0.0,-623.2992848862065,10388,0,137.643
2017-03-01,QQQ,63.91829819886231,0.0,131.44,TLT,22.18632797634488,0.234,119.47,0,0.0,0.0,0.0,-623.2992848862065,10428,0,139.063
2017-03-02,QQQ,63.91829819886231,0.0,130.78,TLT,22.18632797634488,0.0,119.04,0,0.0,0.0,0.0,-623.2992848862065,10376,0,138.403
2017-03-03,QQQ,63.91829819886231,0.0,131.02,TLT,22.18632797634488,0.0,119.35,0,0.0,0.0,0.0,-623.2992848862065,10399,0,138.643
2017-03-06,QQQ,63.91829819886231,0.0,130.73,TLT,22.18632797634488,0.0,118.78,0,0.0,0.0,0.0,-623.2992848862065,10368,0,138.35299999999998
2017-03-07,QQQ,63.91829819886231,0.0,130.51,TLT,22.18632797634488,0.0,118.42,0,0.0,0.0,0.0,-623.2992848862065,10345,0,138.13299999999998
2017-03-08,QQQ,63.91829819886231,0.0,130.74,TLT,22.18632797634488,0.0,117.78,0,0.0,0.0,0.0,-623.2992848862065,10346,0,138.363
2017-03-09,QQQ,63.91829819886231,0.0,130.84,TLT,22.18632797634488,0.0,116.84,0,0.0,0.0,0.0,-623.2992848862065,10332,0,138.463
2017-03-10,QQQ,63.91829819886231,0.0,131.39,TLT,22.18632797634488,0.0,117.25,0,0.0,0.0,0.0,-623.2992848862065,10376,0,139.01299999999998
2017-03-13,QQQ,63.91829819886231,0.0,131.61,TLT,22.18632797634488,0.0,116.51,0,0.0,0.0,0.0,-623.2992848862065,10373,0,139.233
2017-03-14,QQQ,63.91829819886231,0.0,131.29,TLT,22.18632797634488,0.0,117.07,0,0.0,0.0,0.0,-623.2992848862065,10365,0,138.91299999999998
2017-03-15,QQQ,63.91829819886231,0.0,132.1,TLT,22.18632797634488,0.0,118.5,0,0.0,0.0,0.0,-623.2992848862065,10449,0,139.72299999999998
2017-03-16,QQQ,63.91829819886231,0.0,132.01,TLT,22.18632797634488,0.0,117.9,0,0.0,0.0,0.0,-623.2992848862065,10430,0,139.63299999999998
2017-03-17,QQQ,63.91829819886231,0.27399999999999997,131.69,TLT,22.18632797634488,0.0,118.64,0,0.0,0.0,0.0,-623.2992848862065,10426,0,139.587
2017-03-20,QQQ,63.91829819886231,0.0,131.81,TLT,22.18632797634488,0.0,119.15,0,0.0,0.0,0.0,-623.2992848862065,10445,0,139.707
2017-03-21,QQQ,63.91829819886231,0.0,129.81,TLT,22.18632797634488,0.0,120.14,0,0.0,0.0,0.0,-623.2992848862065,10339,0,137.707
2017-03-22,QQQ,63.91829819886231,0.0,130.69,TLT,22.18632797634488,0.0,120.62,0,0.0,0.0,0.0,-623.2992848862065,10406,0,138.587
2017-03-23,QQQ,63.91829819886231,0.0,130.36,TLT,22.18632797634488,0.0,120.45,0,0.0,0.0,0.0,-623.2992848862065,10381,0,138.257
2017-03-24,QQQ,63.91829819886231,0.0,130.63,TLT,22.18632797634488,0.0,120.88,0,0.0,0.0,0.0,-623.2992848862065,10408,0,138.527
2017-03-27,QQQ,63.91829819886231,0.0,130.84,TLT,22.18632797634488,0.0,121.43,0,0.0,0.0,0.0,-623.2992848862065,10433,0,138.737
2017-03-28,QQQ,63.91829819886231,0.0,131.64,TLT,22.18632797634488,0.0,120.62,0,0.0,0.0,0.0,-623.2992848862065,10467,0,139.53699999999998
2017-03-29,QQQ,63.91829819886231,0.0,132.25,TLT,22.18632797634488,0.0,121.34,0,0.0,0.0,0.0,-623.2992848862065,10521,0,140.147
2017-03-30,QQQ,63.91829819886231,0.0,132.47,TLT,22.18632797634488,0.0,120.36,0,0.0,0.0,0.0,-623.2992848862065,10514,0,140.367
2017-03-31,QQQ,63.669142611944,0.0,132.38,TLT,22.69297785738524,0.0,120.71,0,0.0,0.0,0.0,-632.1390824226866,10535,0,140.277
2017-04-03,QQQ,63.669142611944,0.0,132.3,TLT,22.69297785738524,0.255,121.67,0,0.0,0.0,0.0,-632.1390824226866,10552,0,140.197
2017-04-04,QQQ,63.669142611944,0.0,132.51,TLT,22.69297785738524,0.0,121.01,0,0.0,0.0,0.0,-632.1390824226866,10550,0,140.40699999999998
2017-04-05,QQQ,63.669142611944,0.0,131.97,TLT,22.69297785738524,0.0,121.38,0,0.0,0.0,0.0,-632.1390824226866,10524,0,139.867
2017-04-06,QQQ,63.669142611944,0.0,132.04,TLT,22.69297785738524,0.0,121.2,0,0.0,0.0,0.0,-632.1390824226866,10525,0,139.93699999999998
2017-04-07,QQQ,63.669142611944,0.0,131.97,TLT,22.69297785738524,0.0,120.71,0,0.0,0.0,0.0,-632.1390824226866,10509,0,139.867
2017-04-10,QQQ,63.669142611944,0.0,132.02,TLT,22.69297785738524,0.0,121.27,0,0.0,0.0,0.0,-632.1390824226866,10525,0,139.917
2017-04-11,QQQ,63.669142611944,0.0,131.45,TLT,22.69297785738524,0.0,122.42,0,0.0,0.0,0.0,-632.1390824226866,10515,0,139.34699999999998
2017-04-12,QQQ,63.669142611944,0.0,130.92,TLT,22.69297785738524,0.0,123.09,0,0.0,0.0,0.0,-632.1390824226866,10496,0,138.81699999999998
2017-04-13,QQQ,63.669142611944,0.0,130.4,TLT,22.69297785738524,0.0,123.47,0,0.0,0.0,0.0,-632.1390824226866,10472,0,138.297
2017-04-17,QQQ,63.669142611944,0.0,131.48,TLT,22.69297785738524,0.0,123.09,0,0.0,0.0,0.0,-632.1390824226866,10532,0,139.37699999999998
2017-04-18,QQQ,63.669142611944,0.0,131.28,TLT,22.69297785738524,0.0,124.7,0,0.0,0.0,0.0,-632.1390824226866,10556,0,139.177
2017-04-19,QQQ,63.669142611944,0.0,131.49,TLT,22.69297785738524,0.0,124.02,0,0.0,0.0,0.0,-632.1390824226866,10554,0,139.387
2017-04-20,QQQ,63.669142611944,0.0,132.59,TLT,22.69297785738524,0.0,123.54,0,0.0,0.0,0.0,-632.1390824226866,10613,0,140.487
2017-04-21,QQQ,63.669142611944,0.0,132.56,TLT,22.69297785738524,0.0,123.54,0,0.0,0.0,0.0,-632.1390824226866,10611,0,140.457
2017-04-24,QQQ,63.669142611944,0.0,134.16,TLT,22.69297785738524,0.0,122.93,0,0.0,0.0,0.0,-632.1390824226866,10699,0,142.057
2017-04-25,QQQ,63.669142611944,0.0,135.13,TLT,22.69297785738524,0.0,121.45,0,0.0,0.0,0.0,-632.1390824226866,10727,0,143.027
2017-04-26,QQQ,63.669142611944,0.0,134.94,TLT,22.69297785738524,0.0,122.12,0,0.0,0.0,0.0,-632.1390824226866,10730,0,142.837
2017-04-27,QQQ,63.669142611944,0.0,135.75,TLT,22.69297785738524,0.0,122.08,0,0.0,0.0,0.0,-632.1390824226866,10781,0,143.647
2017-04-28,QQQ,63.57421281355942,0.0,135.99,TLT,22.965047733287147,0.0,122.35,0,0.0,0.0,0.0,-648.4092900386964,10806,0,143.887
2017-05-01,QQQ,63.57421281355942,0.0,137.2,TLT,22.965047733287147,0.255,121.08,0,0.0,0.0,0.0,-648.4092900386964,10854,0,145.09699999999998
2017-05-02,QQQ,63.57421281355942,0.0,137.43,TLT,22.965047733287147,0.0,121.7,0,0.0,0.0,0.0,-648.4092900386964,10883,0,145.327
2017-05-03,QQQ,63.57421281355942,0.0,136.99,TLT,22.965047733287147,0.0,121.78,0,0.0,0.0,0.0,-648.4092900386964,10857,0,144.887
2017-05-04,QQQ,63.57421281355942,0.0,137.04,TLT,22.965047733287147,0.0,121.18,0,0.0,0.0,0.0,-648.4092900386964,10846,0,144.93699999999998
2017-05-05,QQQ,63.57421281355942,0.0,137.54,TLT,22.965047733287147,0.0,121.29,0,0.0,0.0,0.0,-648.4092900386964,10881,0,145.43699999999998
2017-05-08,QQQ,63.57421281355942,0.0,137.84,TLT,22.965047733287147,0.0,120.63,0,0.0,0.0,0.0,-648.4092900386964,10884,0,145.737
2017-05-09,QQQ,63.57421281355942,0.0,138.32,TLT,22.965047733287147,0.0,120.62,0,0.0,0.0,0.0,-648.4092900386964,10915,0,146.21699999999998
2017-05-10,QQQ,63.57421281355942,0.0,138.4,TLT,22.965047733287147,0.0,120.48,0,0.0,0.0,0.0,-648.4092900386964,10917,0,146.297
2017-05-11,QQQ,63.57421281355942,0.0,138.29,TLT,22.965047733287147,0.0,120.48,0,0.0,0.0,0.0,-648.4092900386964,10910,0,146.18699999999998
2017-05-12,QQQ,63.57421281355942,0.0,138.6,TLT,22.965047733287147,0.0,121.39,0,0.0,0.0,0.0,-648.4092900386964,10950,0,146.49699999999999
2017-05-15,QQQ,63.57421281355942,0.0,139.04,TLT,22.965047733287147,0.0,121.06,0,0.0,0.0,0.0,-648.4092900386964,10971,0,146.93699999999998
2017-05-16,QQQ,63.57421281355942,0.0,139.62,TLT,22.965047733287147,0.0,121.51,0,0.0,0.0,0.0,-648.4092900386964,11018,0,147.517
2017-05-17,QQQ,63.57421281355942,0.0,136.07,TLT,22.965047733287147,0.0,123.28,0,0.0,0.0,0.0,-648.4092900386964,10833,0,143.96699999999998
2017-05-18,QQQ,63.57421281355942,0.0,137.26,TLT,22.965047733287147,0.0,123.42,0,0.0,0.0,0.0,-648.4092900386964,10912,0,145.15699999999998
2017-05-19,QQQ,63.57421281355942,0.0,137.84,TLT,22.965047733287147,0.0,123.71,0,0.0,0.0,0.0,-648.4092900386964,10955,0,145.737
2017-05-22,QQQ,63.57421281355942,0.0,139.0,TLT,22.965047733287147,0.0,123.37,0,0.0,0.0,0.0,-648.4092900386964,11021,0,146.897
2017-05-23,QQQ,63.57421281355942,0.0,139.14,TLT,22.965047733287147,0.0,122.54,0,0.0,0.0,0.0,-648.4092900386964,11011,0,147.03699999999998
2017-05-24,QQQ,63.57421281355942,0.0,139.78,TLT,22.965047733287147,0.0,123.23,0,0.0,0.0,0.0,-648.4092900386964,11067,0,147.677
2017-05-25,QQQ,63.57421281355942,0.0,140.97,TLT,22.965047733287147,0.0,123.27,0,0.0,0.0,0.0,-648.4092900386964,11144,0,148.867
2017-05-26,QQQ,63.57421281355942,0.0,141.22,TLT,22.965047733287147,0.0,123.48,0,0.0,0.0,0.0,-648.4092900386964,11165,0,149.117
2017-05-30,QQQ,63.57421281355942,0.0,141.34,TLT,22.965047733287147,0.0,124.09,0,0.0,0.0,0.0,-648.4092900386964,11186,0,149.237
2017-05-31,QQQ,63.3874366472635,0.0,141.29,TLT,23.397938506952205,0.0,124.4,0,0.0,0.0,0.0,-671.7008192918901,11195,0,149.18699999999998
2017-06-01,QQQ,63.3874366472635,0.0,141.84,TLT,23.397938506952205,0.263,124.15,0,0.0,0.0,0.0,-671.7008192918901,11224,0,149.737
2017-06-02,QQQ,63.3874366472635,0.0,143.46,TLT,23.397938506952205,0.0,125.62,0,0.0,0.0,0.0,-671.7008192918901,11361,0,151.357
2017-06-05,QQQ,63.3874366472635,0.0,143.43,TLT,23.397938506952205,0.0,124.84,0,0.0,0.0,0.0,-671.7008192918901,11340,0,151.327
2017-06-06,QQQ,63.3874366472635,0.0,142.86,TLT,23.397938506952205,0.0,125.52,0,0.0,0.0,0.0,-671.7008192918901,11320,0,150.757
2017-06-07,QQQ,63.3874366472635,0.0,143.42,TLT,23.397938506952205,0.0,124.92,0,0.0,0.0,0.0,-671.7008192918901,11342,0,151.31699999999998
2017-06-08,QQQ,63.3874366472635,0.0,143.57,TLT,23.397938506952205,0.0,124.59,0,0.0,0.0,0.0,-671.7008192918901,11343,0,151.46699999999998
2017-06-09,QQQ,63.3874366472635,0.0,139.98,TLT,23.397938506952205,0.0,124.4,0,0.0,0.0,0.0,-671.7008192918901,11111,0,147.87699999999998
2017-06-12,QQQ,63.3874366472635,0.0,139.23,TLT,23.397938506952205,0.0,124.36,0,0.0,0.0,0.0,-671.7008192918901,11063,0,147.12699999999998
2017-06-13,QQQ,63.3874366472635,0.0,140.36,TLT,23.397938506952205,0.0,124.38,0,0.0,0.0,0.0,-671.7008192918901,11135,0,148.257
2017-06-14,QQQ,63.3874366472635,0.0,139.75,TLT,23.397938506952205,0.0,126.3,0,0.0,0.0,0.0,-671.7008192918901,11141,0,147.647
2017-06-15,QQQ,63.3874366472635,0.0,139.13,TLT,23.397938506952205,0.0,126.1,0,0.0,0.0,0.0,-671.7008192918901,11097,0,147.027
2017-06-16,QQQ,63.3874366472635,0.37799999999999995,138.15,TLT,23.397938506952205,0.0,126.35,0,0.0,0.0,0.0,-671.7008192918901,11041,0,146.425
2017-06-19,QQQ,63.3874366472635,0.0,140.46,TLT,23.397938506952205,0.0,126.17,0,0.0,0.0,0.0,-671.7008192918901,11183,0,148.735
2017-06-20,QQQ,63.3874366472635,0.0,139.36,TLT,23.397938506952205,0.0,127.3,0,0.0,0.0,0.0,-671.7008192918901,11140,0,147.63500000000002
2017-06-21,QQQ,63.3874366472635,0.0,140.74,TLT,23.397938506952205,0.0,127.56,0,0.0,0.0,0.0,-671.7008192918901,11234,0,149.01500000000001
2017-06-22,QQQ,63.3874366472635,0.0,140.7,TLT,23.397938506952205,0.0,127.84,0,0.0,0.0,0.0,-671.7008192918901,11238,0,148.975
2017-06-23,QQQ,63.3874366472635,0.0,141.24,TLT,23.397938506952205,0.0,127.78,0,0.0,0.0,0.0,-671.7008192918901,11270,0,149.51500000000001
2017-06-26,QQQ,63.3874366472635,0.0,140.58,TLT,23.397938506952205,0.0,128.26,0,0.0,0.0,0.0,-671.7008192918901,11240,0,148.85500000000002
2017-06-27,QQQ,63.3874366472635,0.0,138.03,TLT,23.397938506952205,0.0,126.89,0,0.0,0.0,0.0,-671.7008192918901,11046,0,146.305
2017-06-28,QQQ,63.3874366472635,0.0,140.02,TLT,23.397938506952205,0.0,126.47,0,0.0,0.0,0.0,-671.7008192918901,11162,0,148.29500000000002
2017-06-29,QQQ,63.3874366472635,0.0,137.59,TLT,23.397938506952205,0.0,125.41,0,0.0,0.0,0.0,-671.7008192918901,10984,0,145.865
2017-06-30,QQQ,63.97267494809249,0.0,137.64,TLT,22.87156064940074,0.0,125.12,0,0.0,0.0,0.0,-660.3899234891593,11006,0,145.915
2017-07-03,QQQ,63.97267494809249,0.0,136.19,TLT,22.87156064940074,0.258,124.46,0,0.0,0.0,0.0,-660.3899234891593,10898,0,144.465
2017-07-05,QQQ,63.97267494809249,0.0,137.53,TLT,22.87156064940074,0.0,124.49,0,0.0,0.0,0.0,-660.3899234891593,10985,0,145.805
2017-07-06,QQQ,63.97267494809249,0.0,136.29,TLT,22.87156064940074,0.0,123.46,0,0.0,0.0,0.0,-660.3899234891593,10882,0,144.565
2017-07-07,QQQ,63.97267494809249,0.0,137.76,TLT,22.87156064940074,0.0,122.72,0,0.0,0.0,0.0,-660.3899234891593,10959,0,146.035
2017-07-10,QQQ,63.97267494809249,0.0,138.66,TLT,22.87156064940074,0.0,122.9,0,0.0,0.0,0.0,-660.3899234891593,11020,0,146.935
2017-07-11,QQQ,63.97267494809249,0.0,139.05,TLT,22.87156064940074,0.0,123.11,0,0.0,0.0,0.0,-660.3899234891593,11050,0,147.32500000000002
2017-07-12,QQQ,63.97267494809249,0.0,140.7,TLT,22.87156064940074,0.0,123.96,0,0.0,0.0,0.0,-660.3899234891593,11175,0,148.975
2017-07-13,QQQ,63.97267494809249,0.0,141.01,TLT,22.87156064940074,0.0,123.18,0,0.0,0.0,0.0,-660.3899234891593,11177,0,149.285
2017-07-14,QQQ,63.97267494809249,0.0,142.12,TLT,22.87156064940074,0.0,123.33,0,0.0,0.0,0.0,-660.3899234891593,11252,0,150.395
2017-07-17,QQQ,63.97267494809249,0.0,142.19,TLT,22.87156064940074,0.0,123.67,0,0.0,0.0,0.0,-660.3899234891593,11264,0,150.465
2017-07-18,QQQ,63.97267494809249,0.0,143.14,TLT,22.87156064940074,0.0,124.75,0,0.0,0.0,0.0,-660.3899234891593,11349,0,151.415
2017-07-19,QQQ,63.97267494809249,0.0,143.98,TLT,22.87156064940074,0.0,124.8,0,0.0,0.0,0.0,-660.3899234891593,11404,0,152.255
2017-07-20,QQQ,63.97267494809249,0.0,144.17,TLT,22.87156064940074,0.0,125.16,0,0.0,0.0,0.0,-660.3899234891593,11425,0,152.445
2017-07-21,QQQ,63.97267494809249,0.0,144.11,TLT,22.87156064940074,0.0,125.69,0,0.0,0.0,0.0,-660.3899234891593,11433,0,152.38500000000002
2017-07-24,QQQ,63.97267494809249,0.0,144.77,TLT,22.87156064940074,0.0,125.2,0,0.0,0.0,0.0,-660.3899234891593,11464,0,153.04500000000002
2017-07-25,QQQ,63.97267494809249,0.0,144.4,TLT,22.87156064940074,0.0,123.57,0,0.0,0.0,0.0,-660.3899234891593,11403,0,152.675
2017-07-26,QQQ,63.97267494809249,0.0,144.87,TLT,22.87156064940074,0.0,123.77,0,0.0,0.0,0.0,-660.3899234891593,11438,0,153.145
2017-07-27,QQQ,63.97267494809249,0.0,143.96,TLT,22.87156064940074,0.0,123.16,0,0.0,0.0,0.0,-660.3899234891593,11365,0,152.235
2017-07-28,QQQ,63.97267494809249,0.0,143.84,TLT,22.87156064940074,0.0,123.89,0,0.0,0.0,0.0,-660.3899234891593,11374,0,152.115
2017-07-31,QQQ,63.358879947835426,0.0,143.23,TLT,23.77733006974969,0.0,124.04,0,0.0,0.0,0.0,-680.6169281196356,11343,0,151.505
2017-08-01,QQQ,63.358879947835426,0.0,143.56,TLT,23.77733006974969,0.269,124.64,0,0.0,0.0,0.0,-680.6169281196356,11378,0,151.835
2017-08-02,QQQ,63.358879947835426,0.0,143.95,TLT,23.77733006974969,0.0,124.71,0,0.0,0.0,0.0,-680.6169281196356,11405,0,152.225
2017-08-03,QQQ,63.358879947835426,0.0,143.39,TLT,23.77733006974969,0.0,126.0,0,0.0,0.0,0.0,-680.6169281196356,11400,0,151.665
2017-08-04,QQQ,63.358879947835426,0.0,143.65,TLT,23.77733006974969,0.0,124.93,0,0.0,0.0,0.0,-680.6169281196356,11391,0,151.925
2017-08-07,QQQ,63.358879947835426,0.0,144.56,TLT,23.77733006974969,0.0,125.07,0,0.0,0.0,0.0,-680.6169281196356,11452,0,152.835
2017-08-08,QQQ,63.358879947835426,0.0,144.31,TLT,23.77733006974969,0.0,124.62,0,0.0,0.0,0.0,-680.6169281196356,11425,0,152.585
2017-08-09,QQQ,63.358879947835426,0.0,144.12,TLT,23.77733006974969,0.0,125.3,0,0.0,0.0,0.0,-680.6169281196356,11429,0,152.395
2017-08-10,QQQ,63.358879947835426,0.0,141.03,TLT,23.77733006974969,0.0,126.37,0,0.0,0.0,0.0,-680.6169281196356,11259,0,149.305
2017-08-11,QQQ,63.358879947835426,0.0,142.1,TLT,23.77733006974969,0.0,126.43,0,0.0,0.0,0.0,-680.6169281196356,11328,0,150.375
2017-08-14,QQQ,63.358879947835426,0.0,143.93,TLT,23.77733006974969,0.0,125.78,0,0.0,0.0,0.0,-680.6169281196356,11429,0,152.205
2017-08-15,QQQ,63.358879947835426,0.0,144.03,TLT,23.77733006974969,0.0,125.25,0,0.0,0.0,0.0,-680.6169281196356,11423,0,152.305
2017-08-16,QQQ,63.358879947835426,0.0,144.28,TLT,23.77733006974969,0.0,125.71,0,0.0,0.0,0.0,-680.6169281196356,11449,0,152.555
2017-08-17,QQQ,63.358879947835426,0.0,141.33,TLT,23.77733006974969,0.0,126.65,0,0.0,0.0,0.0,-680.6169281196356,11285,0,149.60500000000002
2017-08-18,QQQ,63.358879947835426,0.0,141.23,TLT,23.77733006974969,0.0,126.62,0,0.0,0.0,0.0,-680.6169281196356,11278,0,149.505
2017-08-21,QQQ,63.358879947835426,0.0,141.05,TLT,23.77733006974969,0.0,126.93,0,0.0,0.0,0.0,-680.6169281196356,11274,0,149.32500000000002
2017-08-22,QQQ,63.358879947835426,0.0,143.2,TLT,23.77733006974969,0.0,126.44,0,0.0,0.0,0.0,-680.6169281196356,11398,0,151.475
2017-08-23,QQQ,63.358879947835426,0.0,142.69,TLT,23.77733006974969,0.0,127.3,0,0.0,0.0,0.0,-680.6169281196356,11386,0,150.965
2017-08-24,QQQ,63.358879947835426,0.0,142.27,TLT,23.77733006974969,0.0,126.83,0,0.0,0.0,0.0,-680.6169281196356,11349,0,150.54500000000002
2017-08-25,QQQ,63.358879947835426,0.0,141.97,TLT,23.77733006974969,0.0,127.32,0,0.0,0.0,0.0,-680.6169281196356,11341,0,150.245
2017-08-28,QQQ,63.358879947835426,0.0,142.41,TLT,23.77733006974969,0.0,127.24,0,0.0,0.0,0.0,-680.6169281196356,11367,0,150.685
2017-08-29,QQQ,63.358879947835426,0.0,142.97,TLT,23.77733006974969,0.0,127.65,0,0.0,0.0,0.0,-680.6169281196356,11412,0,151.245
2017-08-30,QQQ,63.358879947835426,0.0,144.65,TLT,23.77733006974969,0.0,127.61,0,0.0,0.0,0.0,-680.6169281196356,11518,0,152.925
2017-08-31,QQQ,63.64086614222191,0.0,146.2,TLT,23.626031367666798,0.0,127.99,0,0.0,0.0,0.0,-697.8220972494637,11630,0,154.475
2017-09-01,QQQ,63.64086614222191,0.0,146.0,TLT,23.626031367666798,0.263,126.75,0,0.0,0.0,0.0,-697.8220972494637,11588,0,154.275
2017-09-05,QQQ,63.64086614222191,0.0,144.69,TLT,23.626031367666798,0.0,128.76,0,0.0,0.0,0.0,-697.8220972494637,11552,0,152.965
2017-09-06,QQQ,63.64086614222191,0.0,145.13,TLT,23.626031367666798,0.0,127.97,0,0.0,0.0,0.0,-697.8220972494637,11561,0,153.405
2017-09-07,QQQ,63.64086614222191,0.0,145.47,TLT,23.626031367666798,0.0,129.28,0,0.0,0.0,0.0,-697.8220972494637,11614,0,153.745
2017-09-08,QQQ,63.64086614222191,0.0,144.21,TLT,23.626031367666798,0.0,129.0,0,0.0,0.0,0.0,-697.8220972494637,11527,0,152.485
2017-09-11,QQQ,63.64086614222191,0.0,145.87,TLT,23.626031367666798,0.0,127.46,0,0.0,0.0,0.0,-697.8220972494637,11596,0,154.145
2017-09-12,QQQ,63.64086614222191,0.0,146.22,TLT,23.626031367666798,0.0,126.79,0,0.0,0.0,0.0,-697.8220972494637,11603,0,154.495
2017-09-13,QQQ,63.64086614222191,0.0,146.42,TLT,23.626031367666798,0.0,126.29,0,0.0,0.0,0.0,-697.8220972494637,11604,0,154.695
2017-09-14,QQQ,63.64086614222191,0.0,145.56,TLT,23.626031367666798,0.0,126.81,0,0.0,0.0,0.0,-697.8220972494637,11561,0,153.835
2017-09-15,QQQ,63.64086614222191,0.0,146.06,TLT,23.626031367666798,0.0,126.86,0,0.0,0.0,0.0,-697.8220972494637,11594,0,154.335
2017-09-18,QQQ,63.64086614222191,0.319,145.55,TLT,23.626031367666798,0.0,126.13,0,0.0,0.0,0.0,-697.8220972494637,11545,0,154.144
2017-09-19,QQQ,63.64086614222191,0.0,145.8,TLT,23.626031367666798,0.0,125.82,0,0.0,0.0,0.0,-697.8220972494637,11553,0,154.394
2017-09-20,QQQ,63.64086614222191,0.0,145.35,TLT,23.626031367666798,0.0,125.91,0,0.0,0.0,0.0,-697.8220972494637,11527,0,153.944
2017-09-21,QQQ,63.64086614222191,0.0,144.46,TLT,23.626031367666798,0.0,125.84,0,0.0,0.0,0.0,-697.8220972494637,11468,0,153.054
2017-09-22,QQQ,63.64086614222191,0.0,144.32,TLT,23.626031367666798,0.0,126.2,0,0.0,0.0,0.0,-697.8220972494637,11468,0,152.914
2017-09-25,QQQ,63.64086614222191,0.0,142.8,TLT,23.626031367666798,0.0,126.99,0,0.0,0.0,0.0,-697.8220972494637,11390,0,151.394
2017-09-26,QQQ,63.64086614222191,0.0,143.17,TLT,23.626031367666798,0.0,126.76,0,0.0,0.0,0.0,-697.8220972494637,11408,0,151.76399999999998
2017-09-27,QQQ,63.64086614222191,0.0,144.46,TLT,23.626031367666798,0.0,124.85,0,0.0,0.0,0.0,-697.8220972494637,11445,0,153.054
2017-09-28,QQQ,63.64086614222191,0.0,144.41,TLT,23.626031367666798,0.0,124.48,0,0.0,0.0,0.0,-697.8220972494637,11433,0,153.004
2017-09-29,QQQ,63.411971843855525,0.0,145.45,TLT,24.026636534336767,0.0,124.76,0,0.0,0.0,0.0,-691.7453478516594,11529,0,154.04399999999998
2017-10-02,QQQ,63.411971843855525,0.0,145.58,TLT,24.026636534336767,0.252,124.28,0,0.0,0.0,0.0,-691.7453478516594,11525,0,154.174
