Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
1999-03-31,VFINX,84.09966358284272,0.0,118.9,0.0,9999,0,52.47
1999-04-01,VFINX,84.09966358284272,0.0,119.58,0.0,10056,0,53.56
1999-04-05,VFINX,84.09966358284272,0.0,122.12,0.0,10270,0,55.5
1999-04-06,VFINX,84.09966358284272,0.0,121.82,0.0,10245,0,55.61
1999-04-07,VFINX,84.09966358284272,0.0,122.68,0.0,10317,0,55.03
1999-04-08,VFINX,84.09966358284272,0.0,124.26,0.0,10450,0,55.47
1999-04-09,VFINX,84.09966358284272,0.0,124.66,0.0,10483,0,55.81
1999-04-12,VFINX,84.09966358284272,0.0,125.62,0.0,10564,0,55.44
1999-04-13,VFINX,84.09966358284272,0.0,124.8,0.0,10495,0,54.69
1999-04-14,VFINX,84.09966358284272,0.0,122.83,0.0,10329,0,52.81
1999-04-15,VFINX,84.09966358284272,0.0,122.31,0.0,10286,0,53.53
1999-04-16,VFINX,84.09966358284272,0.0,121.95,0.0,10255,0,51.97
1999-04-19,VFINX,84.09966358284272,0.0,119.23,0.0,10027,0,49.53
1999-04-20,VFINX,84.09966358284272,0.0,120.77,0.0,10156,0,50.66
1999-04-21,VFINX,84.09966358284272,0.0,123.55,0.0,10390,0,53.16
1999-04-22,VFINX,84.09966358284272,0.0,125.65,0.0,10567,0,54.59
1999-04-23,VFINX,84.09966358284272,0.0,125.46,0.0,10551,0,55.31
1999-04-26,VFINX,84.09966358284272,0.0,125.76,0.0,10576,0,56.59
1999-04-27,VFINX,84.09966358284272,0.0,126.01,0.0,10597,0,55.72
1999-04-28,VFINX,84.09966358284272,0.0,124.92,0.0,10505,0,53.81
1999-04-29,VFINX,84.09966358284272,0.0,124.19,0.0,10444,0,53.38
1999-04-30,OSMAX,730.4755155023109,0.0,14.21,0.0,10380,0,53.72
1999-05-03,OSMAX,730.4755155023109,0.0,14.24,0.0,10401,0,53.44
1999-05-04,OSMAX,730.4755155023109,0.0,14.33,0.0,10467,0,52.59
1999-05-05,OSMAX,730.4755155023109,0.0,14.44,0.0,10548,0,54.19
1999-05-06,OSMAX,730.4755155023109,0.0,14.65,0.0,10701,0,52.22
1999-05-07,OSMAX,730.4755155023109,0.0,14.67,0.0,10716,0,52.97
1999-05-10,OSMAX,730.4755155023109,0.0,14.76,0.0,10781,0,53.5
1999-05-11,OSMAX,730.4755155023109,0.0,14.92,0.0,10898,0,54.34
1999-05-12,OSMAX,730.4755155023109,0.0,15.12,0.0,11044,0,55.47
1999-05-13,OSMAX,730.4755155023109,0.0,15.18,0.0,11088,0,54.44
1999-05-14,OSMAX,730.4755155023109,0.0,15.13,0.0,11052,0,53.41
1999-05-17,OSMAX,730.4755155023109,0.0,14.89,0.0,10876,0,54.37
1999-05-18,OSMAX,730.4755155023109,0.0,14.85,0.0,10847,0,54.12
1999-05-19,OSMAX,730.4755155023109,0.0,14.82,0.0,10825,0,54.88
1999-05-20,OSMAX,730.4755155023109,0.0,14.85,0.0,10847,0,53.37
1999-05-21,OSMAX,730.4755155023109,0.0,14.82,0.0,10825,0,52.88
1999-05-24,OSMAX,730.4755155023109,0.0,14.8,0.0,10811,0,51.53
1999-05-25,OSMAX,730.4755155023109,0.0,14.67,0.0,10716,0,49.84
1999-05-26,OSMAX,730.4755155023109,0.0,14.42,0.0,10533,0,51.23
1999-05-27,OSMAX,730.4755155023109,0.0,14.36,0.0,10489,0,51.19
1999-05-28,OSMAX,730.4373475633796,0.0,14.41,0.0,10525,0,52.03
1999-06-01,OSMAX,730.4373475633796,0.0,14.37,0.0,10496,0,50.88
1999-06-02,OSMAX,730.4373475633796,0.0,14.24,0.0,10401,0,51.73
1999-06-03,OSMAX,730.4373475633796,0.0,14.35,0.0,10481,0,51.0
1999-06-04,OSMAX,730.4373475633796,0.0,14.35,0.0,10481,0,52.56
1999-06-07,OSMAX,730.4373475633796,0.0,14.41,0.0,10525,0,53.66
1999-06-08,OSMAX,730.4373475633796,0.0,14.55,0.0,10627,0,52.31
1999-06-09,OSMAX,730.4373475633796,0.0,14.56,0.0,10635,0,53.19
