Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Ticker_3,Shares_3,Dividend_3,Price_3,Ticker_4,Shares_4,Dividend_4,Price_4,Cash,Capital,InOutCash,Bench
2006-09-29,QQQ,78.70725707257073,0.0,40.65,DIA,20.55379475758095,0.0,116.74,XLV,108.44843129766522,0.0,33.19,VUSTX,231.82197620481904,0.0,11.21,-1800.0000000000016,9997,0,41.257
2006-10-02,QQQ,78.70725707257073,0.0,40.14,DIA,20.55379475758095,0.0,116.62,XLV,108.44843129766522,0.0,33.0,VUSTX,231.82197620481904,0.0,11.22,-1800.0000000000016,9936,0,40.747
2006-10-03,QQQ,78.70725707257073,0.0,40.31,DIA,20.55379475758095,0.0,117.14,XLV,108.44843129766522,0.0,33.1,VUSTX,231.82197620481904,0.0,11.23,-1800.0000000000016,9973,0,40.917
2006-10-04,QQQ,78.70725707257073,0.0,41.3,DIA,20.55379475758095,0.0,118.39,XLV,108.44843129766522,0.0,33.39,VUSTX,231.82197620481904,0.0,11.27,-1800.0000000000016,10117,0,41.907
2006-10-05,QQQ,78.70725707257073,0.0,41.5,DIA,20.55379475758095,0.0,118.62,XLV,108.44843129766522,0.0,33.39,VUSTX,231.82197620481904,0.0,11.22,-1800.0000000000016,10126,0,42.107
2006-10-06,QQQ,78.70725707257073,0.0,41.41,DIA,20.55379475758095,0.0,118.52,XLV,108.44843129766522,0.0,33.26,VUSTX,231.82197620481904,0.0,11.12,-1800.0000000000016,10080,0,42.016999999999996
2006-10-09,QQQ,78.70725707257073,0.0,41.55,DIA,20.55379475758095,0.0,118.62,XLV,108.44843129766522,0.0,33.19,VUSTX,231.82197620481904,0.0,11.12,-1800.0000000000016,10085,0,42.157
2006-10-10,QQQ,78.70725707257073,0.0,41.62,DIA,20.55379475758095,0.0,118.56,XLV,108.44843129766522,0.0,33.05,VUSTX,231.82197620481904,0.0,11.07,-1800.0000000000016,10063,0,42.227
2006-10-11,QQQ,78.70725707257073,0.0,41.54,DIA,20.55379475758095,0.0,118.58,XLV,108.44843129766522,0.0,33.04,VUSTX,231.82197620481904,0.0,11.03,-1800.0000000000016,10046,0,42.147
2006-10-12,QQQ,78.70725707257073,0.0,42.2,DIA,20.55379475758095,0.0,119.46,XLV,108.44843129766522,0.0,33.24,VUSTX,231.82197620481904,0.0,11.04,-1800.0000000000016,10140,0,42.807
2006-10-13,QQQ,78.70725707257073,0.0,42.43,DIA,20.55379475758095,0.0,119.64,XLV,108.44843129766522,0.0,33.13,VUSTX,231.82197620481904,0.0,11.0,-1800.0000000000016,10141,0,43.037
2006-10-16,QQQ,78.70725707257073,0.0,42.47,DIA,20.55379475758095,0.0,119.77,XLV,108.44843129766522,0.0,33.18,VUSTX,231.82197620481904,0.0,11.02,-1800.0000000000016,10157,0,43.077
2006-10-17,QQQ,78.70725707257073,0.0,42.0,DIA,20.55379475758095,0.0,119.57,XLV,108.44843129766522,0.0,33.27,VUSTX,231.82197620481904,0.0,11.04,-1800.0000000000016,10130,0,42.607
2006-10-18,QQQ,78.70725707257073,0.0,41.8,DIA,20.55379475758095,0.0,119.9,XLV,108.44843129766522,0.0,33.63,VUSTX,231.82197620481904,0.0,11.05,-1800.0000000000016,10163,0,42.407
2006-10-19,QQQ,78.70725707257073,0.0,41.9,DIA,20.55379475758095,0.0,120.15,XLV,108.44843129766522,0.0,33.6,VUSTX,231.82197620481904,0.0,11.03,-1800.0000000000016,10168,0,42.507
2006-10-20,QQQ,78.70725707257073,0.0,42.0,DIA,20.55379475758095,0.147,119.93,XLV,108.44843129766522,0.0,33.86,VUSTX,231.82197620481904,0.0,11.04,-1800.0000000000016,10202,0,42.607
2006-10-23,QQQ,78.70725707257073,0.0,42.43,DIA,20.55379475758095,0.0,120.87,XLV,108.44843129766522,0.0,33.95,VUSTX,231.82197620481904,0.0,10.98,-1800.0000000000016,10251,0,43.037
2006-10-24,QQQ,78.70725707257073,0.0,42.14,DIA,20.55379475758095,0.0,121.21,XLV,108.44843129766522,0.0,33.84,VUSTX,231.82197620481904,0.0,10.99,-1800.0000000000016,10225,0,42.747
2006-10-25,QQQ,78.70725707257073,0.0,42.43,DIA,20.55379475758095,0.0,121.39,XLV,108.44843129766522,0.0,33.64,VUSTX,231.82197620481904,0.0,11.04,-1800.0000000000016,10242,0,43.037
2006-10-26,QQQ,78.70725707257073,0.0,42.82,DIA,20.55379475758095,0.0,121.43,XLV,108.44843129766522,0.0,33.77,VUSTX,231.82197620481904,0.0,11.11,-1800.0000000000016,10303,0,43.427
2006-10-27,QQQ,78.70725707257073,0.0,42.21,DIA,20.55379475758095,0.0,120.86,XLV,108.44843129766522,0.0,33.63,VUSTX,231.82197620481904,0.0,11.16,-1800.0000000000016,10240,0,42.817
2006-10-30,QQQ,78.70725707257073,0.0,42.48,DIA,20.55379475758095,0.0,120.77,XLV,108.44843129766522,0.0,33.44,VUSTX,231.82197620481904,0.0,11.17,-1800.0000000000016,10241,0,43.086999999999996
2006-10-31,QQQ,77.12361738739752,0.0,42.58,DIA,20.400420121482142,0.0,120.73,XLV,110.9433658228171,0.0,33.3,VUSTX,237.17226204788898,0.0,11.25,-1847.207040949906,10262,0,43.187
2006-11-01,QQQ,77.12361738739752,0.0,42.0,DIA,20.400420121482142,0.0,120.26,XLV,110.9433658228171,0.0,33.06,VUSTX,237.17226204788898,0.0,11.3,-1847.207040949906,10193,0,42.607
2006-11-02,QQQ,77.12361738739752,0.0,42.04,DIA,20.400420121482142,0.0,120.0,XLV,110.9433658228171,0.0,33.24,VUSTX,237.17226204788898,0.0,11.26,-1847.207040949906,10201,0,42.647
2006-11-03,QQQ,77.12361738739752,0.0,41.93,DIA,20.400420121482142,0.0,119.78,XLV,110.9433658228171,0.0,33.07,VUSTX,237.17226204788898,0.0,11.14,-1847.207040949906,10141,0,42.537
2006-11-06,QQQ,77.12361738739752,0.0,42.54,DIA,20.400420121482142,0.0,121.01,XLV,110.9433658228171,0.0,33.47,VUSTX,237.17226204788898,0.0,11.15,-1847.207040949906,10260,0,43.147
2006-11-07,QQQ,77.12361738739752,0.0,42.83,DIA,20.400420121482142,0.0,121.55,XLV,110.9433658228171,0.0,33.73,VUSTX,237.17226204788898,0.0,11.2,-1847.207040949906,10334,0,43.437
2006-11-08,QQQ,77.12361738739752,0.0,43.03,DIA,20.400420121482142,0.0,121.83,XLV,110.9433658228171,0.0,33.22,VUSTX,237.17226204788898,0.0,11.23,-1847.207040949906,10305,0,43.637
2006-11-09,QQQ,77.12361738739752,0.0,42.83,DIA,20.400420121482142,0.0,121.16,XLV,110.9433658228171,0.0,32.44,VUSTX,237.17226204788898,0.0,11.23,-1847.207040949906,10190,0,43.437
