Date,On_Price_VYM,On_Shares_VYM,On_Dividend_VYM,Off_Price_IEI,Off_Shares_IEI,Off_Dividend_IEI,Cash,Capital,InOutCash,Bench
2007-02-28,51.19,113.84024208022413,0.0,101.02,41.29223737183122,0.0,0.0,9998,0,122.97
2007-03-01,51.07,113.84024208022413,0.0,100.68,41.29223737183122,0.359,0.0,9971,0,122.75
2007-03-02,50.45,113.84024208022413,0.0,100.96,41.29223737183122,0.0,0.0,9912,0,121.27
2007-03-05,50.0,113.84024208022413,0.0,100.99,41.29223737183122,0.0,0.0,9862,0,120.61
2007-03-06,50.74,113.84024208022413,0.0,100.89,41.29223737183122,0.0,0.0,9942,0,122.37
2007-03-07,50.58,113.84024208022413,0.0,101.03,41.29223737183122,0.0,0.0,9929,0,122.31
2007-03-08,50.95,113.84024208022413,0.0,101.05,41.29223737183122,0.0,0.0,9972,0,123.11
2007-03-09,51.04,113.84024208022413,0.0,100.69,41.29223737183122,0.0,0.0,9968,0,123.3
2007-03-12,51.03,113.84024208022413,0.0,100.87,41.29223737183122,0.0,0.0,9974,0,123.46000000000001
2007-03-13,50.16,113.84024208022413,0.0,101.18,41.29223737183122,0.0,0.0,9888,0,121.33
2007-03-14,50.36,113.84024208022413,0.0,101.16,41.29223737183122,0.0,0.0,9910,0,121.97
2007-03-15,50.61,113.84024208022413,0.0,101.06,41.29223737183122,0.0,0.0,9934,0,122.10000000000001
2007-03-16,50.38,113.84024208022413,0.0,101.08,41.29223737183122,0.0,0.0,9909,0,121.637
2007-03-19,50.87,113.84024208022413,0.0,100.91,41.29223737183122,0.0,0.0,9957,0,122.867
2007-03-20,51.29,113.84024208022413,0.0,101.07,41.29223737183122,0.0,0.0,10012,0,123.407
2007-03-21,51.95,113.84024208022413,0.0,101.27,41.29223737183122,0.0,0.0,10095,0,124.87700000000001
2007-03-22,52.16,113.84024208022413,0.0,101.08,41.29223737183122,0.0,0.0,10111,0,125.037
2007-03-23,52.27,113.84024208022413,0.0,100.98,41.29223737183122,0.0,0.0,10120,0,125.277
2007-03-26,52.04,113.84024208022413,0.268,101.11,41.29223737183122,0.0,0.0,10099,0,124.947
2007-03-27,51.82,113.84024208022413,0.0,101.09,41.29223737183122,0.0,0.0,10073,0,124.477
2007-03-28,51.48,113.84024208022413,0.0,101.12,41.29223737183122,0.0,0.0,10035,0,123.587
2007-03-29,51.69,113.84024208022413,0.0,101.01,41.29223737183122,0.0,0.0,10055,0,123.887
2007-03-30,51.56,108.75223648290304,0.0,101.0,44.28270625185561,0.0,0.0,10079,0,124.177
2007-04-02,51.65,108.75223648290304,0.0,100.64,44.28270625185561,0.364,0.0,10073,0,124.23700000000001
2007-04-03,51.97,108.75223648290304,0.0,100.55,44.28270625185561,0.0,0.0,10104,0,125.577
2007-04-04,52.11,108.75223648290304,0.0,100.79,44.28270625185561,0.0,0.0,10130,0,125.76700000000001
2007-04-05,52.22,108.75223648290304,0.0,100.62,44.28270625185561,0.0,0.0,10134,0,126.047
2007-04-09,52.27,108.75223648290304,0.0,100.22,44.28270625185561,0.0,0.0,10122,0,126.23700000000001
2007-04-10,52.46,108.75223648290304,0.0,100.35,44.28270625185561,0.0,0.0,10148,0,126.177
2007-04-11,52.18,108.75223648290304,0.0,100.34,44.28270625185561,0.0,0.0,10118,0,125.48700000000001
2007-04-12,52.29,108.75223648290304,0.0,100.32,44.28270625185561,0.0,0.0,10129,0,125.997
2007-04-13,52.56,108.75223648290304,0.0,100.21,44.28270625185561,0.0,0.0,10153,0,126.73700000000001
2007-04-16,53.17,108.75223648290304,0.0,100.28,44.28270625185561,0.0,0.0,10223,0,127.62700000000001
2007-04-17,53.26,108.75223648290304,0.0,100.6,44.28270625185561,0.0,0.0,10246,0,128.337
2007-04-18,53.4,108.75223648290304,0.0,100.75,44.28270625185561,0.0,0.0,10268,0,128.62699999999998
2007-04-19,53.26,108.75223648290304,0.0,100.75,44.28270625185561,0.0,0.0,10253,0,128.81699999999998
2007-04-20,53.64,108.75223648290304,0.0,100.72,44.28270625185561,0.0,0.0,10293,0,130.263
2007-04-23,53.55,108.75223648290304,0.0,100.86,44.28270625185561,0.0,0.0,10290,0,129.863
2007-04-24,53.47,108.75223648290304,0.0,101.03,44.28270625185561,0.0,0.0,10288,0,130.173
2007-04-25,53.89,108.75223648290304,0.0,100.92,44.28270625185561,0.0,0.0,10329,0,131.31300000000002
2007-04-26,54.09,108.75223648290304,0.0,100.76,44.28270625185561,0.0,0.0,10344,0,131.893
2007-04-27,54.06,108.75223648290304,0.0,100.76,44.28270625185561,0.0,0.0,10341,0,131.923
2007-04-30,53.74,192.27693518741802,0.0,101.06,0.0,0.0,0.0,10332,0,131.363
2007-05-01,53.71,192.27693518741802,0.0,100.63,0.0,0.37200000000000005,0.0,10327,0,131.983
2007-05-02,54.11,192.27693518741802,0.0,100.59,0.0,0.0,0.0,10404,0,132.833
2007-05-03,54.38,192.27693518741802,0.0,100.5,0.0,0.0,0.0,10456,0,133.083
2007-05-04,54.48,192.27693518741802,0.0,100.65,0.0,0.0,0.0,10475,0,133.43300000000002
2007-05-07,54.62,192.27693518741802,0.0,100.69,0.0,0.0,0.0,10502,0,133.733
2007-05-08,54.55,192.27693518741802,0.0,100.71,0.0,0.0,0.0,10488,0,133.81300000000002
2007-05-09,54.79,192.27693518741802,0.0,100.55,0.0,0.0,0.0,10534,0,134.263
2007-05-10,54.12,192.27693518741802,0.0,100.65,0.0,0.0,0.0,10406,0,133.193
2007-05-11,54.4,192.27693518741802,0.0,100.58,0.0,0.0,0.0,10459,0,134.25300000000001
2007-05-14,54.35,192.27693518741802,0.0,100.43,0.0,0.0,0.0,10450,0,134.413
2007-05-15,54.51,192.27693518741802,0.0,100.44,0.0,0.0,0.0,10481,0,134.81300000000002
2007-05-16,54.99,192.27693518741802,0.0,100.51,0.0,0.0,0.0,10573,0,135.81300000000002
2007-05-17,54.98,192.27693518741802,0.0,100.28,0.0,0.0,0.0,10571,0,135.62300000000002
2007-05-18,55.26,192.27693518741802,0.0,100.1,0.0,0.0,0.0,10625,0,136.547
2007-05-21,55.26,192.27693518741802,0.0,100.24,0.0,0.0,0.0,10625,0,136.24699999999999
2007-05-22,55.31,192.27693518741802,0.0,99.99,0.0,0.0,0.0,10634,0,136.207
2007-05-23,55.23,192.27693518741802,0.0,99.99,0.0,0.0,0.0,10619,0,136.24699999999999
2007-05-24,54.72,192.27693518741802,0.0,100.03,0.0,0.0,0.0,10521,0,135.43699999999998
2007-05-25,54.85,192.27693518741802,0.0,99.93,0.0,0.0,0.0,10546,0,135.93699999999998
2007-05-29,55.0,192.27693518741802,0.0,99.84,0.0,0.0,0.0,10575,0,136.267
2007-05-30,55.3,192.27693518741802,0.0,99.9,0.0,0.0,0.0,10632,0,137.327
2007-05-31,55.36,175.07822624586822,0.0,99.81,9.528309057250747,0.0,0.0,10643,0,137.337
2007-06-01,55.44,175.07822624586822,0.0,99.12,9.528309057250747,0.38299999999999995,0.0,10650,0,137.657
2007-06-04,55.55,175.07822624586822,0.0,99.25,9.528309057250747,0.0,0.0,10671,0,137.607
2007-06-05,55.21,175.07822624586822,0.0,99.04,9.528309057250747,0.0,0.0,10609,0,137.027
2007-06-06,54.79,175.07822624586822,0.0,99.2,9.528309057250747,0.0,0.0,10537,0,135.537
2007-06-07,53.83,175.07822624586822,0.0,98.75,9.528309057250747,0.0,0.0,10365,0,133.577
2007-06-08,54.59,175.07822624586822,0.0,98.75,9.528309057250747,0.0,0.0,10498,0,135.147
2007-06-11,54.46,175.07822624586822,0.0,98.77,9.528309057250747,0.0,0.0,10475,0,135.287
2007-06-12,53.9,175.07822624586822,0.0,98.35,9.528309057250747,0.0,0.0,10373,0,133.96699999999998
2007-06-13,54.52,175.07822624586822,0.0,98.51,9.528309057250747,0.0,0.0,10483,0,135.847
2007-06-14,54.92,175.07822624586822,0.0,98.47,9.528309057250747,0.0,0.0,10553,0,136.74699999999999
2007-06-15,55.25,175.07822624586822,0.0,98.76,9.528309057250747,0.0,0.0,10614,0,137.406
2007-06-18,55.13,175.07822624586822,0.0,98.83,9.528309057250747,0.0,0.0,10593,0,137.156
2007-06-19,55.28,175.07822624586822,0.0,99.1,9.528309057250747,0.0,0.0,10622,0,137.48600000000002
2007-06-20,54.61,175.07822624586822,0.0,98.96,9.528309057250747,0.0,0.0,10503,0,136.066
2007-06-21,54.64,175.07822624586822,0.0,98.89,9.528309057250747,0.0,0.0,10508,0,136.586
2007-06-22,54.0,175.07822624586822,0.0,99.1,9.528309057250747,0.0,0.0,10398,0,135.186
2007-06-25,53.57,175.07822624586822,0.29600000000000004,99.23,9.528309057250747,0.0,0.0,10324,0,134.836
2007-06-26,53.5,175.07822624586822,0.0,99.28,9.528309057250747,0.0,0.0,10312,0,134.01600000000002
2007-06-27,54.0,175.07822624586822,0.0,99.4,9.528309057250747,0.0,0.0,10401,0,135.336
2007-06-28,54.1,175.07822624586822,0.0,99.26,9.528309057250747,0.0,0.0,10417,0,135.306
2007-06-29,53.92,103.00606133262733,0.0,99.58,49.04383807638995,0.0,0.0,10437,0,135.416
2007-07-02,54.48,103.00606133262733,0.0,99.33,49.04383807638995,0.396,0.0,10483,0,136.48600000000002
2007-07-03,54.51,103.00606133262733,0.0,99.19,49.04383807638995,0.0,0.0,10479,0,136.906
2007-07-05,54.61,103.00606133262733,0.0,98.78,49.04383807638995,0.0,0.0,10469,0,136.776
2007-07-06,54.58,103.00606133262733,0.0,98.63,49.04383807638995,0.0,0.0,10459,0,137.346
2007-07-09,54.77,103.00606133262733,0.0,98.73,49.04383807638995,0.0,0.0,10483,0,137.696
2007-07-10,54.02,103.00606133262733,0.0,99.31,49.04383807638995,0.0,0.0,10434,0,136.23600000000002
2007-07-11,54.27,103.00606133262733,0.0,99.07,49.04383807638995,0.0,0.0,10448,0,137.116
2007-07-12,55.36,103.00606133262733,0.0,98.96,49.04383807638995,0.0,0.0,10555,0,139.556
2007-07-13,55.63,103.00606133262733,0.0,99.04,49.04383807638995,0.0,0.0,10587,0,140.126
2007-07-16,55.58,103.00606133262733,0.0,99.27,49.04383807638995,0.0,0.0,10593,0,140.67600000000002
2007-07-17,55.44,103.00606133262733,0.0,99.19,49.04383807638995,0.0,0.0,10575,0,141.01600000000002
2007-07-18,55.26,103.00606133262733,0.0,99.44,49.04383807638995,0.0,0.0,10569,0,140.54600000000002
2007-07-19,55.47,103.00606133262733,0.0,99.4,49.04383807638995,0.0,0.0,10588,0,141.106
2007-07-20,54.71,103.00606133262733,0.0,99.76,49.04383807638995,0.0,0.0,10528,0,139.92
2007-07-23,55.1,103.00606133262733,0.0,99.76,49.04383807638995,0.0,0.0,10568,0,140.59
2007-07-24,53.95,103.00606133262733,0.0,99.94,49.04383807638995,0.0,0.0,10458,0,138.65
2007-07-25,54.02,103.00606133262733,0.0,100.03,49.04383807638995,0.0,0.0,10470,0,138.88
2007-07-26,53.03,103.00606133262733,0.0,100.7,49.04383807638995,0.0,0.0,10401,0,136.09
2007-07-27,52.26,103.00606133262733,0.0,100.79,49.04383807638995,0.0,0.0,10326,0,133.49
2007-07-30,52.59,103.00606133262733,0.0,100.58,49.04383807638995,0.0,0.0,10349,0,134.92
2007-07-31,52.1,85.5287886861863,0.0,100.81,58.23881009077349,0.0,0.0,10327,0,133.54999999999998
2007-08-01,52.54,85.5287886861863,0.0,100.25,58.23881009077349,0.37,0.0,10332,0,134.79
2007-08-02,52.78,85.5287886861863,0.0,100.44,58.23881009077349,0.0,0.0,10363,0,136.16
2007-08-03,51.46,85.5287886861863,0.0,100.85,58.23881009077349,0.0,0.0,10274,0,133.57
2007-08-06,52.63,85.5287886861863,0.0,100.53,58.23881009077349,0.0,0.0,10356,0,135.57999999999998
2007-08-07,53.25,85.5287886861863,0.0,100.39,58.23881009077349,0.0,0.0,10401,0,136.43
2007-08-08,53.93,85.5287886861863,0.0,100.23,58.23881009077349,0.0,0.0,10449,0,137.93
2007-08-09,52.48,85.5287886861863,0.0,100.66,58.23881009077349,0.0,0.0,10350,0,134.17
2007-08-10,52.53,85.5287886861863,0.0,100.52,58.23881009077349,0.0,0.0,10346,0,133.32
2007-08-13,52.1,85.5287886861863,0.0,100.7,58.23881009077349,0.0,0.0,10320,0,133.56
2007-08-14,51.5,85.5287886861863,0.0,101.92,58.23881009077349,0.0,0.0,10340,0,131.87
2007-08-15,51.0,85.5287886861863,0.0,101.14,58.23881009077349,0.0,0.0,10252,0,130.23
2007-08-16,51.56,85.5287886861863,0.0,101.87,58.23881009077349,0.0,0.0,10342,0,130.53
2007-08-17,52.83,85.5287886861863,0.0,101.55,58.23881009077349,0.0,0.0,10432,0,132.215
2007-08-20,52.7,85.5287886861863,0.0,101.76,58.23881009077349,0.0,0.0,10433,0,132.625
2007-08-21,52.63,85.5287886861863,0.0,102.05,58.23881009077349,0.0,0.0,10444,0,132.345
2007-08-22,53.11,85.5287886861863,0.0,101.73,58.23881009077349,0.0,0.0,10467,0,133.95499999999998
2007-08-23,53.13,85.5287886861863,0.0,101.6,58.23881009077349,0.0,0.0,10461,0,133.83499999999998
2007-08-24,53.6,85.5287886861863,0.0,101.53,58.23881009077349,0.0,0.0,10497,0,135.30499999999998
2007-08-27,53.16,85.5287886861863,0.0,101.71,58.23881009077349,0.0,0.0,10470,0,134.785
2007-08-28,51.99,85.5287886861863,0.0,102.3,58.23881009077349,0.0,0.0,10404,0,132.155
2007-08-29,52.91,85.5287886861863,0.0,101.95,58.23881009077349,0.0,0.0,10462,0,134.405
2007-08-30,52.65,85.5287886861863,0.0,102.33,58.23881009077349,0.0,0.0,10462,0,134.23499999999999
2007-08-31,53.1,61.80696755447126,0.0,102.3,70.73071845689563,0.0,0.0,10517,0,135.065
2007-09-04,53.62,61.80696755447126,0.0,101.85,70.73071845689563,0.379,0.0,10518,0,136.005
2007-09-05,53.06,61.80696755447126,0.0,102.35,70.73071845689563,0.0,0.0,10518,0,134.885
2007-09-06,53.19,61.80696755447126,0.0,102.1,70.73071845689563,0.0,0.0,10509,0,135.195
2007-09-07,52.48,61.80696755447126,0.0,102.78,70.73071845689563,0.0,0.0,10513,0,133.185
2007-09-10,52.36,61.80696755447126,0.0,103.0,70.73071845689563,0.0,0.0,10521,0,133.095
2007-09-11,52.94,61.80696755447126,0.0,102.74,70.73071845689563,0.0,0.0,10538,0,134.745
2007-09-12,53.2,61.80696755447126,0.0,102.67,70.73071845689563,0.0,0.0,10550,0,134.915
2007-09-13,53.5,61.80696755447126,0.0,102.24,70.73071845689563,0.0,0.0,10538,0,135.965
2007-09-14,53.66,61.80696755447126,0.0,102.34,70.73071845689563,0.0,0.0,10555,0,136.125
2007-09-17,53.41,61.80696755447126,0.0,102.32,70.73071845689563,0.0,0.0,10538,0,135.725
2007-09-18,54.96,61.80696755447126,0.0,102.45,70.73071845689563,0.0,0.0,10643,0,139.015
