Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
2007-12-31,VUSTX,869.1493383742911,0.0,11.5,0.0,9995,0,155.97
2008-01-02,VUSTX,869.1493383742911,0.0,11.66,0.0,10134,0,154.04
2008-01-03,VUSTX,869.1493383742911,0.0,11.64,0.0,10116,0,154.04
2008-01-04,VUSTX,869.1493383742911,0.0,11.66,0.0,10134,0,150.76999999999998
2008-01-07,VUSTX,869.1493383742911,0.0,11.69,0.0,10160,0,151.19
2008-01-08,VUSTX,869.1493383742911,0.0,11.67,0.0,10142,0,148.84
2008-01-09,VUSTX,869.1493383742911,0.0,11.73,0.0,10195,0,150.59
2008-01-10,VUSTX,869.1493383742911,0.0,11.58,0.0,10064,0,151.62
2008-01-11,VUSTX,869.1493383742911,0.0,11.66,0.0,10134,0,149.85999999999999
2008-01-14,VUSTX,869.1493383742911,0.0,11.69,0.0,10160,0,151.26
2008-01-15,VUSTX,869.1493383742911,0.0,11.79,0.0,10247,0,148.01
2008-01-16,VUSTX,869.1493383742911,0.0,11.76,0.0,10221,0,147.3
2008-01-17,VUSTX,869.1493383742911,0.0,11.84,0.0,10290,0,143.63
2008-01-18,VUSTX,869.1493383742911,0.0,11.8,0.0,10255,0,142.89
2008-01-22,VUSTX,869.1493383742911,0.0,11.92,0.0,10360,0,141.53
2008-01-23,VUSTX,869.1493383742911,0.0,11.88,0.0,10325,0,144.12
2008-01-24,VUSTX,869.1493383742911,0.0,11.74,0.0,10203,0,145.36
2008-01-25,VUSTX,869.1493383742911,0.0,11.83,0.0,10282,0,143.39
2008-01-28,VUSTX,869.1493383742911,0.0,11.83,0.0,10282,0,145.54
2008-01-29,VUSTX,869.1493383742911,0.0,11.76,0.0,10221,0,146.32
2008-01-30,VUSTX,869.1493383742911,0.0,11.7,0.0,10169,0,145.73
2008-01-31,VUSTX,872.0292970307216,0.0,11.76,0.0,10255,0,147.84
2008-02-01,VUSTX,872.0292970307216,0.0,11.81,0.0,10298,0,149.4
2008-02-04,VUSTX,872.0292970307216,0.0,11.75,0.0,10246,0,148.05
2008-02-05,VUSTX,872.0292970307216,0.0,11.8,0.0,10289,0,143.99
2008-02-06,VUSTX,872.0292970307216,0.0,11.76,0.0,10255,0,143.1
2008-02-07,VUSTX,872.0292970307216,0.0,11.61,0.0,10124,0,144.1
2008-02-08,VUSTX,872.0292970307216,0.0,11.7,0.0,10202,0,143.58
2008-02-11,VUSTX,872.0292970307216,0.0,11.74,0.0,10237,0,144.31
2008-02-12,VUSTX,872.0292970307216,0.0,11.66,0.0,10167,0,145.21
2008-02-13,VUSTX,872.0292970307216,0.0,11.58,0.0,10098,0,146.95
2008-02-14,VUSTX,872.0292970307216,0.0,11.45,0.0,9984,0,145.26
2008-02-15,VUSTX,872.0292970307216,0.0,11.53,0.0,10054,0,145.37
2008-02-19,VUSTX,872.0292970307216,0.0,11.42,0.0,9958,0,145.27
2008-02-20,VUSTX,872.0292970307216,0.0,11.42,0.0,9958,0,146.31
2008-02-21,VUSTX,872.0292970307216,0.0,11.55,0.0,10071,0,144.74
2008-02-22,VUSTX,872.0292970307216,0.0,11.52,0.0,10045,0,145.73
2008-02-25,VUSTX,872.0292970307216,0.0,11.4,0.0,9941,0,147.46
2008-02-26,VUSTX,872.0292970307216,0.0,11.42,0.0,9958,0,148.34
2008-02-27,VUSTX,872.0292970307216,0.0,11.43,0.0,9967,0,148.25
2008-02-28,VUSTX,872.0292970307216,0.0,11.6,0.0,10115,0,147.12
2008-02-29,VUSTX,874.7187426991259,0.0,11.76,0.0,10286,0,143.71
2008-03-03,VUSTX,874.7187426991259,0.0,11.75,0.0,10277,0,143.77
2008-03-04,VUSTX,874.7187426991259,0.0,11.65,0.0,10190,0,143.35
2008-03-05,VUSTX,874.7187426991259,0.0,11.54,0.0,10094,0,144.05
2008-03-06,VUSTX,874.7187426991259,0.0,11.59,0.0,10137,0,141.36
2008-03-07,VUSTX,874.7187426991259,0.0,11.63,0.0,10172,0,140.34
2008-03-10,VUSTX,874.7187426991259,0.0,11.76,0.0,10286,0,138.51
2008-03-11,VUSTX,874.7187426991259,0.0,11.62,0.0,10164,0,142.88
2008-03-12,VUSTX,874.7187426991259,0.0,11.81,0.0,10330,0,141.81
2008-03-13,VUSTX,874.7187426991259,0.0,11.72,0.0,10251,0,142.44
2008-03-14,VUSTX,874.7187426991259,0.0,11.85,0.0,10365,0,139.91
2008-03-17,VUSTX,874.7187426991259,0.0,11.89,0.0,10400,0,138.86
2008-03-18,VUSTX,874.7187426991259,0.0,11.85,0.0,10365,0,143.87
2008-03-19,VUSTX,874.7187426991259,0.0,11.96,0.0,10461,0,140.88
2008-03-20,VUSTX,874.7187426991259,0.0,12.03,0.0,10522,0,143.76
2008-03-24,VUSTX,874.7187426991259,0.0,11.78,0.0,10304,0,145.64
2008-03-25,VUSTX,874.7187426991259,0.0,11.84,0.0,10356,0,145.93
2008-03-26,VUSTX,874.7187426991259,0.0,11.81,0.0,10330,0,144.84
2008-03-27,VUSTX,874.7187426991259,0.016,11.73,0.0,10260,0,143.44
2008-03-28,VUSTX,874.7187426991259,0.0,11.78,0.0,10304,0,142.48
2008-03-31,VUSTX,878.6683883933521,0.0,11.82,0.0,10385,0,143.17
2008-04-01,VUSTX,878.6683883933521,0.0,11.67,0.0,10254,0,147.54
2008-04-02,VUSTX,878.6683883933521,0.0,11.68,0.0,10262,0,147.32
2008-04-03,VUSTX,878.6683883933521,0.0,11.68,0.0,10262,0,147.48
2008-04-04,VUSTX,878.6683883933521,0.0,11.81,0.0,10377,0,147.57999999999998
2008-04-07,VUSTX,878.6683883933521,0.0,11.74,0.0,10315,0,147.78
2008-04-08,VUSTX,878.6683883933521,0.0,11.73,0.0,10306,0,147.18
2008-04-09,VUSTX,878.6683883933521,0.0,11.84,0.0,10403,0,146.17
2008-04-10,VUSTX,878.6683883933521,0.0,11.79,0.0,10359,0,146.73
2008-04-11,VUSTX,878.6683883933521,0.0,11.85,0.0,10412,0,144.19
2008-04-14,VUSTX,878.6683883933521,0.0,11.8,0.0,10368,0,143.76999999999998
2008-04-15,VUSTX,878.6683883933521,0.0,11.73,0.0,10306,0,144.34
2008-04-16,VUSTX,878.6683883933521,0.0,11.59,0.0,10183,0,147.14
