Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Cash,Capital,InOutCash,Bench
2007-12-31,TLT,601.8560790614009,0.0,93.04,GLD,169.76796281738908,0.0,82.46,0.0,69995,0,51.44
2008-01-02,TLT,601.8560790614009,0.0,94.38,GLD,169.76796281738908,0.0,84.86,0.0,71209,0,50.629999999999995
2008-01-03,TLT,601.8560790614009,0.0,94.25,GLD,169.76796281738908,0.0,85.57,0.0,71251,0,50.839999999999996
2008-01-04,TLT,601.8560790614009,0.0,94.27,GLD,169.76796281738908,0.0,85.13,0.0,71189,0,48.62
2008-01-07,TLT,601.8560790614009,0.0,94.68,GLD,169.76796281738908,0.0,84.77,0.0,71374,0,48.39
2008-01-08,TLT,601.8560790614009,0.0,94.57,GLD,169.76796281738908,0.0,86.78,0.0,71649,0,47.14
2008-01-09,TLT,601.8560790614009,0.0,94.75,GLD,169.76796281738908,0.0,86.55,0.0,71719,0,48.14
2008-01-10,TLT,601.8560790614009,0.0,93.47,GLD,169.76796281738908,0.0,88.25,0.0,71237,0,48.21
2008-01-11,TLT,601.8560790614009,0.0,94.2,GLD,169.76796281738908,0.0,88.58,0.0,71732,0,47.269999999999996
2008-01-14,TLT,601.8560790614009,0.0,94.55,GLD,169.76796281738908,0.0,89.54,0.0,72106,0,48.089999999999996
2008-01-15,TLT,601.8560790614009,0.0,95.61,GLD,169.76796281738908,0.0,87.99,0.0,72481,0,46.769999999999996
2008-01-16,TLT,601.8560790614009,0.0,94.92,GLD,169.76796281738908,0.0,86.7,0.0,71847,0,46.269999999999996
2008-01-17,TLT,601.8560790614009,0.0,96.15,GLD,169.76796281738908,0.0,86.5,0.0,72553,0,45.629999999999995
2008-01-18,TLT,601.8560790614009,0.0,95.49,GLD,169.76796281738908,0.0,87.42,0.0,72312,0,45.57
2008-01-22,TLT,601.8560790614009,0.0,96.51,GLD,169.76796281738908,0.0,88.17,0.0,73053,0,44.4
2008-01-23,TLT,601.8560790614009,0.0,96.29,GLD,169.76796281738908,0.0,87.89,0.0,72873,0,44.23
2008-01-24,TLT,601.8560790614009,0.0,94.36,GLD,169.76796281738908,0.0,90.08,0.0,72083,0,45.129999999999995
2008-01-25,TLT,601.8560790614009,0.0,95.95,GLD,169.76796281738908,0.0,90.3,0.0,73078,0,44.21
2008-01-28,TLT,601.8560790614009,0.0,95.59,GLD,169.76796281738908,0.0,91.75,0.0,73107,0,44.55
2008-01-29,TLT,601.8560790614009,0.0,94.94,GLD,169.76796281738908,0.0,91.15,0.0,72614,0,44.629999999999995
2008-01-30,TLT,601.8560790614009,0.0,94.32,GLD,169.76796281738908,0.0,92.06,0.0,72395,0,44.589999999999996
2008-01-31,TLT,601.7056605757241,0.0,94.99,GLD,156.33484873656462,0.0,91.4,0.0,71445,0,45.35
2008-02-01,TLT,601.7056605757241,0.329,95.23,GLD,156.33484873656462,0.0,89.35,0.0,71268,0,45.81
2008-02-04,TLT,601.7056605757241,0.0,94.25,GLD,156.33484873656462,0.0,89.1,0.0,70640,0,45.17
2008-02-05,TLT,601.7056605757241,0.0,94.97,GLD,156.33484873656462,0.0,87.68,0.0,70851,0,43.89
2008-02-06,TLT,601.7056605757241,0.0,94.68,GLD,156.33484873656462,0.0,88.95,0.0,70875,0,43.03
2008-02-07,TLT,601.7056605757241,0.0,92.64,GLD,156.33484873656462,0.0,89.85,0.0,69788,0,43.33
2008-02-08,TLT,601.7056605757241,0.0,93.7,GLD,156.33484873656462,0.0,91.0,0.0,70606,0,43.82
2008-02-11,TLT,601.7056605757241,0.0,94.09,GLD,156.33484873656462,0.0,91.33,0.0,70892,0,44.29
2008-02-12,TLT,601.7056605757241,0.0,93.53,GLD,156.33484873656462,0.0,89.33,0.0,70242,0,44.04
2008-02-13,TLT,601.7056605757241,0.0,92.54,GLD,156.33484873656462,0.0,89.44,0.0,69664,0,45.0
2008-02-14,TLT,601.7056605757241,0.0,91.18,GLD,156.33484873656462,0.0,89.71,0.0,68888,0,44.19
2008-02-15,TLT,601.7056605757241,0.0,91.88,GLD,156.33484873656462,0.0,89.15,0.0,69221,0,44.04
2008-02-19,TLT,601.7056605757241,0.0,90.95,GLD,156.33484873656462,0.0,91.58,0.0,69042,0,43.96
2008-02-20,TLT,601.7056605757241,0.0,91.58,GLD,156.33484873656462,0.0,93.24,0.0,69680,0,44.16
2008-02-21,TLT,601.7056605757241,0.0,92.55,GLD,156.33484873656462,0.0,93.25,0.0,70266,0,43.74
2008-02-22,TLT,601.7056605757241,0.0,92.02,GLD,156.33484873656462,0.0,93.39,0.0,69969,0,43.9
2008-02-25,TLT,601.7056605757241,0.0,91.08,GLD,156.33484873656462,0.0,92.74,0.0,69301,0,44.12
