Date,On_Price_QQQ,On_Shares_QQQ,On_Dividend_QQQ,Off_Price_IEF,Off_Shares_IEF,Off_Dividend_IEF,Cash,Capital,InOutCash,Bench
2002-08-30,23.49,61.91891882845189,0.0,84.6,100.99786137548996,0.0,0.0,9998,0,86.63
2002-09-03,22.64,61.91891882845189,0.0,85.23,100.99786137548996,0.29,0.0,10009,0,83.27
2002-09-04,22.73,61.91891882845189,0.0,85.2,100.99786137548996,0.0,0.0,10012,0,84.25
2002-09-05,22.17,61.91891882845189,0.0,85.54,100.99786137548996,0.0,0.0,10012,0,83.51
2002-09-06,22.85,61.91891882845189,0.0,84.88,100.99786137548996,0.0,0.0,9987,0,84.63
2002-09-09,23.08,61.91891882845189,0.0,84.76,100.99786137548996,0.0,0.0,9989,0,85.29
2002-09-10,23.65,61.91891882845189,0.0,85.06,100.99786137548996,0.0,0.0,10055,0,86.6
2002-09-11,23.45,61.91891882845189,0.0,84.75,100.99786137548996,0.0,0.0,10011,0,85.79
2002-09-12,22.81,61.91891882845189,0.0,85.19,100.99786137548996,0.0,0.0,10016,0,84.25
2002-09-13,22.99,61.91891882845189,0.0,85.59,100.99786137548996,0.0,0.0,10067,0,83.64
2002-09-16,22.66,61.91891882845189,0.0,85.62,100.99786137548996,0.0,0.0,10050,0,84.26
2002-09-17,22.18,61.91891882845189,0.0,85.9,100.99786137548996,0.0,0.0,10049,0,82.27
2002-09-18,21.93,61.91891882845189,0.0,86.0,100.99786137548996,0.0,0.0,10043,0,81.53
2002-09-19,21.58,61.91891882845189,0.0,86.43,100.99786137548996,0.0,0.0,10065,0,79.75
2002-09-20,21.67,61.91891882845189,0.0,86.4,100.99786137548996,0.0,0.0,10067,0,79.967
2002-09-23,21.02,61.91891882845189,0.0,86.89,100.99786137548996,0.0,0.0,10077,0,79.097
2002-09-24,21.03,61.91891882845189,0.0,87.2,100.99786137548996,0.0,0.0,10109,0,77.36699999999999
2002-09-25,21.87,61.91891882845189,0.0,86.54,100.99786137548996,0.0,0.0,10094,0,78.957
2002-09-26,21.6,61.91891882845189,0.0,86.48,100.99786137548996,0.0,0.0,10071,0,80.107
2002-09-27,21.31,61.91891882845189,0.0,87.05,100.99786137548996,0.0,0.0,10111,0,77.14699999999999
2002-09-30,20.72,102.86899613817293,0.0,87.56,91.59602080858251,0.0,0.0,10151,0,76.297
2002-10-01,21.98,102.86899613817293,0.0,86.54,91.59602080858251,0.258,0.0,10187,0,80.297
2002-10-02,21.25,102.86899613817293,0.0,86.83,91.59602080858251,0.0,0.0,10139,0,78.217
2002-10-03,20.74,102.86899613817293,0.0,86.78,91.59602080858251,0.0,0.0,10082,0,77.67699999999999
2002-10-04,20.35,102.86899613817293,0.0,86.87,91.59602080858251,0.0,0.0,10050,0,76.25699999999999
2002-10-07,20.16,102.86899613817293,0.0,87.21,91.59602080858251,0.0,0.0,10061,0,75.03699999999999
2002-10-08,20.2,102.86899613817293,0.0,87.05,91.59602080858251,0.0,0.0,10051,0,75.687
2002-10-09,20.06,102.86899613817293,0.0,87.49,91.59602080858251,0.0,0.0,10077,0,73.417
2002-10-10,21.08,102.86899613817293,0.0,86.99,91.59602080858251,0.0,0.0,10136,0,75.717
2002-10-11,22.22,102.86899613817293,0.0,86.37,91.59602080858251,0.0,0.0,10196,0,79.28699999999999
2002-10-14,22.48,102.86899613817293,0.0,86.3,91.59602080858251,0.0,0.0,10217,0,79.237
2002-10-15,23.56,102.86899613817293,0.0,84.85,91.59602080858251,0.0,0.0,10195,0,83.097
2002-10-16,22.78,102.86899613817293,0.0,84.85,91.59602080858251,0.0,0.0,10115,0,81.097
2002-10-17,23.55,102.86899613817293,0.0,84.4,91.59602080858251,0.0,0.0,10153,0,83.137
2002-10-18,23.81,102.86899613817293,0.0,84.65,91.59602080858251,0.0,0.0,10202,0,83.502
2002-10-21,24.29,102.86899613817293,0.0,84.0,91.59602080858251,0.0,0.0,10192,0,85.822
2002-10-22,24.14,102.86899613817293,0.0,83.96,91.59602080858251,0.0,0.0,10173,0,85.132
2002-10-23,24.6,102.86899613817293,0.0,84.14,91.59602080858251,0.0,0.0,10237,0,85.632
2002-10-24,23.98,102.86899613817293,0.0,84.54,91.59602080858251,0.0,0.0,10210,0,83.432
2002-10-25,24.7,102.86899613817293,0.0,84.91,91.59602080858251,0.0,0.0,10318,0,85.032
2002-10-28,24.49,102.86899613817293,0.0,85.01,91.59602080858251,0.0,0.0,10305,0,84.432
2002-10-29,23.92,102.86899613817293,0.0,85.78,91.59602080858251,0.0,0.0,10317,0,84.112
2002-10-30,24.56,102.86899613817293,0.0,85.77,91.59602080858251,0.0,0.0,10382,0,84.752
2002-10-31,24.55,64.74636529012143,0.0,86.21,102.68614009116477,0.0,0.0,10442,0,84.152
2002-11-01,25.25,64.74636529012143,0.0,85.4,102.68614009116477,0.295,0.0,10404,0,85.702
2002-11-04,25.9,64.74636529012143,0.0,85.13,102.68614009116477,0.0,0.0,10418,0,86.102
2002-11-05,26.1,64.74636529012143,0.0,84.9,102.68614009116477,0.0,0.0,10407,0,87.302
2002-11-06,26.47,64.74636529012143,0.0,85.18,102.68614009116477,0.0,0.0,10460,0,88.452
