Date,On_Price_DJIndex,On_Shares_DJIndex,On_Dividend_DJIndex,Off_Price_Treasures,Off_Shares_Treasures,Off_Dividend_Treasures,Cash,Capital,InOutCash,Bench
1915-01-30,57.16,74.51309278243968,0.0,83.65721869,68.61011764955853,0.0,0.0,9998,0,112.66470500099999
1915-02-01,55.59,74.51309278243968,0.25154475,83.64928909999998,68.61011764955853,0.294166667,0.0,9881,0,111.34624975099999
1915-02-02,57.26,74.51309278243968,0.0,83.64028002,68.61011764955853,0.0,0.0,10005,0,113.01624975099999
1915-02-03,56.9,74.51309278243968,0.0,83.63127288,68.61011764955853,0.0,0.0,9977,0,112.65624975099999
1915-02-04,56.83,74.51309278243968,0.0,83.62226769,68.61011764955853,0.0,0.0,9971,0,112.586249751
1915-02-05,56.16,74.51309278243968,0.0,83.61326443,68.61011764955853,0.0,0.0,9921,0,111.91624975099998
1915-02-06,56.33,74.51309278243968,0.0,83.60426311,68.61011764955853,0.0,0.0,9933,0,112.086249751
1915-02-08,56.31,74.51309278243968,0.0,83.59526372,68.61011764955853,0.0,0.0,9931,0,112.06624975099999
1915-02-09,56.85,74.51309278243968,0.0,83.58626628,68.61011764955853,0.0,0.0,9970,0,112.606249751
1915-02-10,57.05,74.51309278243968,0.0,83.57727077,68.61011764955853,0.0,0.0,9985,0,112.806249751
1915-02-11,57.83,74.51309278243968,0.0,83.5682772,68.61011764955853,0.0,0.0,10042,0,113.586249751
1915-02-13,57.2,74.51309278243968,0.0,83.55928556,68.61011764955853,0.0,0.0,9995,0,112.956249751
1915-02-15,57.02,74.51309278243968,0.0,83.55029586,68.61011764955853,0.0,0.0,9981,0,112.776249751
1915-02-16,56.64,74.51309278243968,0.0,83.54130809,68.61011764955853,0.0,0.0,9952,0,112.396249751
1915-02-17,55.7,74.51309278243968,0.0,83.53232225,68.61011764955853,0.0,0.0,9881,0,111.456249751
1915-02-18,55.53,74.51309278243968,0.0,83.52333835,68.61011764955853,0.0,0.0,9868,0,111.28624975099999
1915-02-19,55.38,74.51309278243968,0.0,83.51435638,68.61011764955853,0.0,0.0,9856,0,111.136249751
1915-02-20,55.2,74.51309278243968,0.0,83.50537634,68.61011764955853,0.0,0.0,9842,0,110.956249751
1915-02-23,54.4,74.51309278243968,0.0,83.49639824,68.61011764955853,0.0,0.0,9782,0,110.15624975099999
1915-02-24,54.22,74.51309278243968,0.0,83.48742206,68.61011764955853,0.0,0.0,9768,0,109.97624975099998
1915-02-25,54.61,74.51309278243968,0.0,83.47844781,68.61011764955853,0.0,0.0,9796,0,110.366249751
1915-02-26,55.02,74.51309278243968,0.0,83.46947549,68.61011764955853,0.0,0.0,9826,0,110.776249751
1915-02-27,55.18,57.5528728644748,0.0,83.46050509999998,80.22996708787353,0.0,0.0,9871,0,110.93624975099999
1915-03-01,55.29,57.5528728644748,0.2515695,83.45153664,80.22996708787353,0.294166667,0.0,9877,0,111.29781925099999
1915-03-02,55.66,57.5528728644748,0.0,83.45153664,80.22996708787353,0.0,0.0,9898,0,111.667819251
1915-03-03,55.88,57.5528728644748,0.0,83.45153664,80.22996708787353,0.0,0.0,9911,0,111.887819251
1915-03-04,56.0,57.5528728644748,0.0,83.45153664,80.22996708787353,0.0,0.0,9918,0,112.007819251
1915-03-05,56.51,57.5528728644748,0.0,83.45153664,80.22996708787353,0.0,0.0,9947,0,112.51781925099999
1915-03-06,56.41,57.5528728644748,0.0,83.45153664,80.22996708787353,0.0,0.0,9941,0,112.417819251
1915-03-08,56.98,57.5528728644748,0.0,83.45153664,80.22996708787353,0.0,0.0,9974,0,112.98781925099999
