Date,On_Price_QQQ,On_Shares_QQQ,On_Dividend_QQQ,Off_Price_IEF,Off_Shares_IEF,Off_Dividend_IEF,Cash,Capital,InOutCash,Bench
2002-08-30,23.49,53.07001410741355,0.0,84.6,103.45468476189698,0.0,0.0,9998,0,86.63
2002-09-03,22.64,53.07001410741355,0.0,85.23,103.45468476189698,0.29,0.0,10018,0,83.27
2002-09-04,22.73,53.07001410741355,0.0,85.2,103.45468476189698,0.0,0.0,10020,0,84.25
2002-09-05,22.17,53.07001410741355,0.0,85.54,103.45468476189698,0.0,0.0,10026,0,83.51
2002-09-06,22.85,53.07001410741355,0.0,84.88,103.45468476189698,0.0,0.0,9993,0,84.63
2002-09-09,23.08,53.07001410741355,0.0,84.76,103.45468476189698,0.0,0.0,9993,0,85.29
2002-09-10,23.65,53.07001410741355,0.0,85.06,103.45468476189698,0.0,0.0,10054,0,86.6
2002-09-11,23.45,53.07001410741355,0.0,84.75,103.45468476189698,0.0,0.0,10012,0,85.79
2002-09-12,22.81,53.07001410741355,0.0,85.19,103.45468476189698,0.0,0.0,10023,0,84.25
2002-09-13,22.99,53.07001410741355,0.0,85.59,103.45468476189698,0.0,0.0,10074,0,83.64
2002-09-16,22.66,53.07001410741355,0.0,85.62,103.45468476189698,0.0,0.0,10060,0,84.26
2002-09-17,22.18,53.07001410741355,0.0,85.9,103.45468476189698,0.0,0.0,10063,0,82.27
2002-09-18,21.93,53.07001410741355,0.0,86.0,103.45468476189698,0.0,0.0,10060,0,81.53
2002-09-19,21.58,53.07001410741355,0.0,86.43,103.45468476189698,0.0,0.0,10086,0,79.75
2002-09-20,21.67,53.07001410741355,0.0,86.4,103.45468476189698,0.0,0.0,10088,0,79.967
2002-09-23,21.02,53.07001410741355,0.0,86.89,103.45468476189698,0.0,0.0,10104,0,79.097
2002-09-24,21.03,53.07001410741355,0.0,87.2,103.45468476189698,0.0,0.0,10137,0,77.36699999999999
