Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Ticker_3,Shares_3,Dividend_3,Price_3,Ticker_4,Shares_4,Dividend_4,Price_4,Ticker_5,Shares_5,Dividend_5,Price_5,Ticker_6,Shares_6,Dividend_6,Price_6,Ticker_7,Shares_7,Dividend_7,Price_7,Cash,Capital,InOutCash,Bench
2006-09-29,FBT,5.698950381679389,0.0,20.96,FDN,7.6000953288846524,0.0,20.98,IGV,3.682448036951502,0.0,43.3,IHI,2.561655586532275,0.0,46.63,ITA,4.9047521507578855,0.0,48.82,TLT,2.9018006934347387,0.0,89.41,0,0.0,0.0,0.0,-60.00000000000006,996,0,40.673
2006-10-02,FBT,5.698950381679389,0.0,21.39,FDN,7.6000953288846524,0.0,20.71,IGV,3.682448036951502,0.0,42.65,IHI,2.561655586532275,0.0,46.23,ITA,4.9047521507578855,0.0,48.89,TLT,2.9018006934347387,0.354,89.3,0,0.0,0.0,0.0,-60.00000000000006,993,0,40.163000000000004
2006-10-03,FBT,5.698950381679389,0.0,21.35,FDN,7.6000953288846524,0.0,20.95,IGV,3.682448036951502,0.0,42.95,IHI,2.561655586532275,0.0,46.52,ITA,4.9047521507578855,0.0,49.27,TLT,2.9018006934347387,0.0,89.18,0,0.0,0.0,0.0,-60.00000000000006,998,0,40.333000000000006
2006-10-04,FBT,5.698950381679389,0.0,21.85,FDN,7.6000953288846524,0.0,21.5,IGV,3.682448036951502,0.0,43.8,IHI,2.561655586532275,0.0,47.39,ITA,4.9047521507578855,0.0,49.8,TLT,2.9018006934347387,0.0,89.83,0,0.0,0.0,0.0,-60.00000000000006,1015,0,41.323
2006-10-05,FBT,5.698950381679389,0.0,22.13,FDN,7.6000953288846524,0.0,21.66,IGV,3.682448036951502,0.0,44.0,IHI,2.561655586532275,0.0,47.92,ITA,4.9047521507578855,0.0,50.14,TLT,2.9018006934347387,0.0,89.2,0,0.0,0.0,0.0,-60.00000000000006,1020,0,41.523
2006-10-06,FBT,5.698950381679389,0.0,22.14,FDN,7.6000953288846524,0.0,21.55,IGV,3.682448036951502,0.0,43.94,IHI,2.561655586532275,0.0,47.65,ITA,4.9047521507578855,0.0,50.13,TLT,2.9018006934347387,0.0,88.27,0,0.0,0.0,0.0,-60.00000000000006,1015,0,41.433
2006-10-09,FBT,5.698950381679389,0.0,22.3,FDN,7.6000953288846524,0.0,21.55,IGV,3.682448036951502,0.0,43.85,IHI,2.561655586532275,0.0,47.84,ITA,4.9047521507578855,0.0,50.27,TLT,2.9018006934347387,0.0,88.51,0,0.0,0.0,0.0,-60.00000000000006,1018,0,41.573
2006-10-10,FBT,5.698950381679389,0.0,22.15,FDN,7.6000953288846524,0.0,21.35,IGV,3.682448036951502,0.0,44.06,IHI,2.561655586532275,0.0,47.82,ITA,4.9047521507578855,0.0,50.37,TLT,2.9018006934347387,0.0,87.81,0,0.0,0.0,0.0,-60.00000000000006,1015,0,41.643
2006-10-11,FBT,5.698950381679389,0.0,22.11,FDN,7.6000953288846524,0.0,21.05,IGV,3.682448036951502,0.0,44.0,IHI,2.561655586532275,0.0,47.73,ITA,4.9047521507578855,0.0,50.29,TLT,2.9018006934347387,0.0,87.55,0,0.0,0.0,0.0,-60.00000000000006,1010,0,41.563
2006-10-12,FBT,5.698950381679389,0.0,22.41,FDN,7.6000953288846524,0.0,21.32,IGV,3.682448036951502,0.0,44.93,IHI,2.561655586532275,0.0,48.0,ITA,4.9047521507578855,0.0,51.27,TLT,2.9018006934347387,0.0,87.6,0,0.0,0.0,0.0,-60.00000000000006,1023,0,42.223000000000006
2006-10-13,FBT,5.698950381679389,0.0,22.34,FDN,7.6000953288846524,0.0,21.4,IGV,3.682448036951502,0.0,45.2,IHI,2.561655586532275,0.0,47.84,ITA,4.9047521507578855,0.0,51.28,TLT,2.9018006934347387,0.0,87.16,0,0.0,0.0,0.0,-60.00000000000006,1023,0,42.453
2006-10-16,FBT,5.698950381679389,0.0,22.45,FDN,7.6000953288846524,0.0,21.38,IGV,3.682448036951502,0.0,45.19,IHI,2.561655586532275,0.0,47.75,ITA,4.9047521507578855,0.0,51.67,TLT,2.9018006934347387,0.0,87.55,0,0.0,0.0,0.0,-60.00000000000006,1026,0,42.493
2006-10-17,FBT,5.698950381679389,0.0,23.02,FDN,7.6000953288846524,0.0,21.1,IGV,3.682448036951502,0.0,44.75,IHI,2.561655586532275,0.0,47.64,ITA,4.9047521507578855,0.0,51.03,TLT,2.9018006934347387,0.0,87.62,0,0.0,0.0,0.0,-60.00000000000006,1022,0,42.023
2006-10-18,FBT,5.698950381679389,0.0,23.12,FDN,7.6000953288846524,0.0,20.99,IGV,3.682448036951502,0.0,44.9,IHI,2.561655586532275,0.0,47.94,ITA,4.9047521507578855,0.0,51.03,TLT,2.9018006934347387,0.0,87.8,0,0.0,0.0,0.0,-60.00000000000006,1024,0,41.823
2006-10-19,FBT,5.698950381679389,0.0,23.15,FDN,7.6000953288846524,0.0,21.27,IGV,3.682448036951502,0.0,44.45,IHI,2.561655586532275,0.0,48.18,ITA,4.9047521507578855,0.0,50.74,TLT,2.9018006934347387,0.0,87.64,0,0.0,0.0,0.0,-60.00000000000006,1023,0,41.923
2006-10-20,FBT,5.698950381679389,0.0,23.08,FDN,7.6000953288846524,0.0,21.26,IGV,3.682448036951502,0.0,44.4,IHI,2.561655586532275,0.0,48.23,ITA,4.9047521507578855,0.0,50.39,TLT,2.9018006934347387,0.0,87.55,0,0.0,0.0,0.0,-60.00000000000006,1021,0,42.023
2006-10-23,FBT,5.698950381679389,0.0,23.12,FDN,7.6000953288846524,0.0,21.74,IGV,3.682448036951502,0.0,44.8,IHI,2.561655586532275,0.0,48.43,ITA,4.9047521507578855,0.0,50.59,TLT,2.9018006934347387,0.0,87.2,0,0.0,0.0,0.0,-60.00000000000006,1027,0,42.453
2006-10-24,FBT,5.698950381679389,0.0,22.93,FDN,7.6000953288846524,0.0,21.73,IGV,3.682448036951502,0.0,44.3,IHI,2.561655586532275,0.0,48.38,ITA,4.9047521507578855,0.0,50.83,TLT,2.9018006934347387,0.0,87.2,0,0.0,0.0,0.0,-60.00000000000006,1025,0,42.163000000000004
2006-10-25,FBT,5.698950381679389,0.0,22.94,FDN,7.6000953288846524,0.0,22.12,IGV,3.682448036951502,0.0,44.42,IHI,2.561655586532275,0.0,48.49,ITA,4.9047521507578855,0.0,50.31,TLT,2.9018006934347387,0.0,87.89,0,0.0,0.0,0.0,-60.00000000000006,1028,0,42.453
2006-10-26,FBT,5.698950381679389,0.0,23.67,FDN,7.6000953288846524,0.0,22.49,IGV,3.682448036951502,0.0,44.43,IHI,2.561655586532275,0.0,48.96,ITA,4.9047521507578855,0.0,50.48,TLT,2.9018006934347387,0.0,88.46,0,0.0,0.0,0.0,-60.00000000000006,1039,0,42.843
