Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Ticker_3,Shares_3,Dividend_3,Price_3,Ticker_4,Shares_4,Dividend_4,Price_4,Cash,Capital,InOutCash,Bench
2002-09-30,VUSTX,830.1853732298762,0.0,12.04,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9995,0,20.72
2002-10-01,VUSTX,830.1853732298762,0.0,11.94,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9912,0,21.98
2002-10-02,VUSTX,830.1853732298762,0.0,11.96,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9929,0,21.25
2002-10-03,VUSTX,830.1853732298762,0.0,11.95,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9920,0,20.74
2002-10-04,VUSTX,830.1853732298762,0.0,11.96,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9929,0,20.35
2002-10-07,VUSTX,830.1853732298762,0.0,12.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9962,0,20.16
2002-10-08,VUSTX,830.1853732298762,0.0,11.99,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9953,0,20.2
2002-10-09,VUSTX,830.1853732298762,0.0,12.06,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10012,0,20.06
2002-10-10,VUSTX,830.1853732298762,0.0,11.97,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9937,0,21.08
2002-10-11,VUSTX,830.1853732298762,0.0,11.84,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9829,0,22.22
2002-10-14,VUSTX,830.1853732298762,0.0,11.84,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9829,0,22.48
2002-10-15,VUSTX,830.1853732298762,0.0,11.62,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9646,0,23.56
2002-10-16,VUSTX,830.1853732298762,0.0,11.58,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9613,0,22.78
2002-10-17,VUSTX,830.1853732298762,0.0,11.47,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9522,0,23.55
2002-10-18,VUSTX,830.1853732298762,0.0,11.46,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9513,0,23.81
2002-10-21,VUSTX,830.1853732298762,0.0,11.4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9464,0,24.29
2002-10-22,VUSTX,830.1853732298762,0.0,11.37,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9439,0,24.14
2002-10-23,VUSTX,830.1853732298762,0.0,11.36,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9430,0,24.6
2002-10-24,VUSTX,830.1853732298762,0.0,11.44,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9497,0,23.98
2002-10-25,VUSTX,830.1853732298762,0.0,11.49,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9538,0,24.7
2002-10-28,VUSTX,830.1853732298762,0.0,11.49,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9538,0,24.49
2002-10-29,VUSTX,830.1853732298762,0.0,11.64,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9663,0,23.92
2002-10-30,VUSTX,830.1853732298762,0.0,11.61,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9638,0,24.56
2002-10-31,VUSTX,833.216618562368,0.0,11.65,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9706,0,24.55
2002-11-01,VUSTX,833.216618562368,0.0,11.61,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9673,0,25.25
2002-11-04,VUSTX,833.216618562368,0.0,11.55,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9623,0,25.9
2002-11-05,VUSTX,833.216618562368,0.0,11.52,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9598,0,26.1
2002-11-06,VUSTX,833.216618562368,0.0,11.57,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9640,0,26.47
2002-11-07,VUSTX,833.216618562368,0.0,11.78,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9815,0,25.54
2002-11-08,VUSTX,833.216618562368,0.0,11.87,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9890,0,25.07
2002-11-11,VUSTX,833.216618562368,0.0,11.87,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9890,0,24.31
2002-11-12,VUSTX,833.216618562368,0.0,11.86,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9881,0,24.93
2002-11-13,VUSTX,833.216618562368,0.0,11.87,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9890,0,25.23
2002-11-14,VUSTX,833.216618562368,0.0,11.69,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9740,0,26.1
2002-11-15,VUSTX,833.216618562368,0.0,11.68,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9731,0,26.44
2002-11-18,VUSTX,833.216618562368,0.0,11.72,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9765,0,26.05
2002-11-19,VUSTX,833.216618562368,0.0,11.77,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9806,0,25.65
2002-11-20,VUSTX,833.216618562368,0.0,11.66,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9715,0,26.74
2002-11-21,VUSTX,833.216618562368,0.0,11.58,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9648,0,27.73
2002-11-22,VUSTX,833.216618562368,0.0,11.55,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9623,0,27.72
2002-11-25,VUSTX,833.216618562368,0.0,11.54,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9615,0,27.99
2002-11-26,VUSTX,833.216618562368,0.0,11.65,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9706,0,27.05
2002-11-27,VUSTX,833.216618562368,0.0,11.44,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9531,0,27.91
2002-11-29,VUSTX,585.2697785296995,0.0,11.44,QQQ,34.505701228508364,0.0,27.72,DIA,10.759258020857725,0.0,88.9,XLV,34.54308552019689,0.0,27.69,1.0619261448566195e-12,9564,0,27.72
2002-12-02,VUSTX,585.2697785296995,0.0,11.5,QQQ,34.505701228508364,0.0,28.0,DIA,10.759258020857725,0.0,88.87,XLV,34.54308552019689,0.0,27.44,1.0619261448566195e-12,9600,0,28.0
2002-12-03,VUSTX,585.2697785296995,0.0,11.48,QQQ,34.505701228508364,0.0,27.17,DIA,10.759258020857725,0.0,87.93,XLV,34.54308552019689,0.0,27.26,1.0619261448566195e-12,9544,0,27.17
2002-12-04,VUSTX,585.2697785296995,0.0,11.54,QQQ,34.505701228508364,0.0,26.57,DIA,10.759258020857725,0.0,87.75,XLV,34.54308552019689,0.0,27.51,1.0619261448566195e-12,9565,0,26.57
2002-12-05,VUSTX,585.2697785296995,0.0,11.6,QQQ,34.505701228508364,0.0,26.2,DIA,10.759258020857725,0.0,86.62,XLV,34.54308552019689,0.0,27.35,1.0619261448566195e-12,9569,0,26.2
2002-12-06,VUSTX,585.2697785296995,0.0,11.61,QQQ,34.505701228508364,0.0,26.47,DIA,10.759258020857725,0.0,86.83,XLV,34.54308552019689,0.0,27.47,1.0619261448566195e-12,9591,0,26.47
2002-12-09,VUSTX,585.2697785296995,0.0,11.66,QQQ,34.505701228508364,0.0,25.22,DIA,10.759258020857725,0.0,84.76,XLV,34.54308552019689,0.0,27.35,1.0619261448566195e-12,9551,0,25.22
2002-12-10,VUSTX,585.2697785296995,0.0,11.69,QQQ,34.505701228508364,0.0,25.6,DIA,10.759258020857725,0.0,85.75,XLV,34.54308552019689,0.0,27.45,1.0619261448566195e-12,9595,0,25.6
