Date,On_Price_DIA,On_Shares_DIA,On_Dividend_DIA,Off_Price_IEI,Off_Shares_IEI,Off_Dividend_IEI,Cash,Capital,InOutCash,Bench
2007-02-28,122.66,37.49724988627186,0.0,101.02,53.449686487328194,0.0,0.0,9998,0,122.97
2007-03-01,122.44,37.49724988627186,0.0,100.68,53.449686487328194,0.359,0.0,9972,0,122.75
2007-03-02,120.96,37.49724988627186,0.0,100.96,53.449686487328194,0.0,0.0,9931,0,121.27
2007-03-05,120.3,37.49724988627186,0.0,100.99,53.449686487328194,0.0,0.0,9908,0,120.61
2007-03-06,122.06,37.49724988627186,0.0,100.89,53.449686487328194,0.0,0.0,9969,0,122.37
2007-03-07,122.0,37.49724988627186,0.0,101.03,53.449686487328194,0.0,0.0,9974,0,122.31
2007-03-08,122.8,37.49724988627186,0.0,101.05,53.449686487328194,0.0,0.0,10005,0,123.11
2007-03-09,122.99,37.49724988627186,0.0,100.69,53.449686487328194,0.0,0.0,9993,0,123.3
2007-03-12,123.15,37.49724988627186,0.0,100.87,53.449686487328194,0.0,0.0,10009,0,123.46000000000001
2007-03-13,121.02,37.49724988627186,0.0,101.18,53.449686487328194,0.0,0.0,9945,0,121.33
2007-03-14,121.66,37.49724988627186,0.0,101.16,53.449686487328194,0.0,0.0,9968,0,121.97
2007-03-15,121.79,37.49724988627186,0.0,101.06,53.449686487328194,0.0,0.0,9968,0,122.10000000000001
2007-03-16,121.05,37.49724988627186,0.27699999999999997,101.08,53.449686487328194,0.0,0.0,9941,0,121.637
2007-03-19,122.28,37.49724988627186,0.0,100.91,53.449686487328194,0.0,0.0,9978,0,122.867
2007-03-20,122.82,37.49724988627186,0.0,101.07,53.449686487328194,0.0,0.0,10007,0,123.407
2007-03-21,124.29,37.49724988627186,0.0,101.27,53.449686487328194,0.0,0.0,10073,0,124.87700000000001
2007-03-22,124.45,37.49724988627186,0.0,101.08,53.449686487328194,0.0,0.0,10069,0,125.037
2007-03-23,124.69,37.49724988627186,0.0,100.98,53.449686487328194,0.0,0.0,10072,0,125.277
2007-03-26,124.36,37.49724988627186,0.0,101.11,53.449686487328194,0.0,0.0,10067,0,124.947
2007-03-27,123.89,37.49724988627186,0.0,101.09,53.449686487328194,0.0,0.0,10048,0,124.477
2007-03-28,123.0,37.49724988627186,0.0,101.12,53.449686487328194,0.0,0.0,10016,0,123.587
2007-03-29,123.3,37.49724988627186,0.0,101.01,53.449686487328194,0.0,0.0,10022,0,123.887
2007-03-30,123.59,48.3190690132054,0.0,101.0,40.46007294478351,0.0,0.0,10058,0,124.177
2007-04-02,123.65,48.3190690132054,0.0,100.64,40.46007294478351,0.364,0.0,10046,0,124.23700000000001
2007-04-03,124.99,48.3190690132054,0.0,100.55,40.46007294478351,0.0,0.0,10107,0,125.577
2007-04-04,125.18,48.3190690132054,0.0,100.79,40.46007294478351,0.0,0.0,10126,0,125.76700000000001
2007-04-05,125.46,48.3190690132054,0.0,100.62,40.46007294478351,0.0,0.0,10133,0,126.047
2007-04-09,125.65,48.3190690132054,0.0,100.22,40.46007294478351,0.0,0.0,10126,0,126.23700000000001
2007-04-10,125.59,48.3190690132054,0.0,100.35,40.46007294478351,0.0,0.0,10128,0,126.177
2007-04-11,124.9,48.3190690132054,0.0,100.34,40.46007294478351,0.0,0.0,10094,0,125.48700000000001
2007-04-12,125.41,48.3190690132054,0.0,100.32,40.46007294478351,0.0,0.0,10118,0,125.997
2007-04-13,126.15,48.3190690132054,0.0,100.21,40.46007294478351,0.0,0.0,10149,0,126.73700000000001
2007-04-16,127.04,48.3190690132054,0.0,100.28,40.46007294478351,0.0,0.0,10195,0,127.62700000000001
2007-04-17,127.75,48.3190690132054,0.0,100.6,40.46007294478351,0.0,0.0,10243,0,128.337
2007-04-18,128.04,48.3190690132054,0.0,100.75,40.46007294478351,0.0,0.0,10263,0,128.62699999999998
2007-04-19,128.23,48.3190690132054,0.0,100.75,40.46007294478351,0.0,0.0,10272,0,128.81699999999998
2007-04-20,129.57,48.3190690132054,0.106,100.72,40.46007294478351,0.0,0.0,10335,0,130.263
2007-04-23,129.17,48.3190690132054,0.0,100.86,40.46007294478351,0.0,0.0,10322,0,129.863
2007-04-24,129.48,48.3190690132054,0.0,101.03,40.46007294478351,0.0,0.0,10344,0,130.173
2007-04-25,130.62,48.3190690132054,0.0,100.92,40.46007294478351,0.0,0.0,10394,0,131.31300000000002
2007-04-26,131.2,48.3190690132054,0.0,100.76,40.46007294478351,0.0,0.0,10416,0,131.893
2007-04-27,131.23,48.3190690132054,0.0,100.76,40.46007294478351,0.0,0.0,10417,0,131.923
2007-04-30,130.67,78.5316220484326,0.0,101.06,1.5613004726623148,0.0,0.0,10419,0,131.363
2007-05-01,131.29,78.5316220484326,0.0,100.63,1.5613004726623148,0.37200000000000005,0.0,10467,0,131.983
2007-05-02,132.14,78.5316220484326,0.0,100.59,1.5613004726623148,0.0,0.0,10534,0,132.833
2007-05-03,132.39,78.5316220484326,0.0,100.5,1.5613004726623148,0.0,0.0,10553,0,133.083
2007-05-04,132.74,78.5316220484326,0.0,100.65,1.5613004726623148,0.0,0.0,10581,0,133.43300000000002
2007-05-07,133.04,78.5316220484326,0.0,100.69,1.5613004726623148,0.0,0.0,10605,0,133.733
2007-05-08,133.12,78.5316220484326,0.0,100.71,1.5613004726623148,0.0,0.0,10611,0,133.81300000000002
2007-05-09,133.57,78.5316220484326,0.0,100.55,1.5613004726623148,0.0,0.0,10646,0,134.263
2007-05-10,132.5,78.5316220484326,0.0,100.65,1.5613004726623148,0.0,0.0,10562,0,133.193
