Date,On_Price_SPY,On_Shares_SPY,On_Dividend_SPY,On_Price_DIA,On_Shares_DIA,On_Dividend_DIA,Off_Price_TLT,Off_Shares_TLT,Off_Dividend_TLT,Cash_x,Capital_x,InOutCash_x,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Cash_y,Capital_y,InOutCash_y,Capital,Bench
2007-12-31,146.21,46.001898489433835,0.0,132.55,76.11604200083126,0.0,93.04,141.6917637992044,0.0,0.0,29998,0,TLT,601.8560790614009,0.0,93.04,GLD,169.76796281738908,0.0,82.46,0.0,69995,0,99993,38.15
2008-01-02,144.93,46.001898489433835,0.0,130.63,76.11604200083126,0.0,94.38,141.6917637992044,0.0,0.0,29982,0,TLT,601.8560790614009,0.0,94.38,GLD,169.76796281738908,0.0,84.86,0.0,71209,0,101191,38.25
2008-01-03,144.86,46.001898489433835,0.0,130.74,76.11604200083126,0.0,94.25,141.6917637992044,0.0,0.0,29969,0,TLT,601.8560790614009,0.0,94.25,GLD,169.76796281738908,0.0,85.57,0.0,71251,0,101220,37.53
2008-01-04,141.31,46.001898489433835,0.0,128.17,76.11604200083126,0.0,94.27,141.6917637992044,0.0,0.0,29613,0,TLT,601.8560790614009,0.0,94.27,GLD,169.76796281738908,0.0,85.13,0.0,71189,0,100802,37.81
2008-01-07,141.19,46.001898489433835,0.0,128.06,76.11604200083126,0.0,94.68,141.6917637992044,0.0,0.0,29657,0,TLT,601.8560790614009,0.0,94.68,GLD,169.76796281738908,0.0,84.77,0.0,71374,0,101031,38.96
2008-01-08,138.91,46.001898489433835,0.0,125.85,76.11604200083126,0.0,94.57,141.6917637992044,0.0,0.0,29369,0,TLT,601.8560790614009,0.0,94.57,GLD,169.76796281738908,0.0,86.78,0.0,71649,0,101018,38.77
2008-01-09,140.37,46.001898489433835,0.0,126.96,76.11604200083126,0.0,94.75,141.6917637992044,0.0,0.0,29546,0,TLT,601.8560790614009,0.0,94.75,GLD,169.76796281738908,0.0,86.55,0.0,71719,0,101265,39.0
2008-01-10,141.29,46.001898489433835,0.0,127.82,76.11604200083126,0.0,93.47,141.6917637992044,0.0,0.0,29472,0,TLT,601.8560790614009,0.0,93.47,GLD,169.76796281738908,0.0,88.25,0.0,71237,0,100709,38.15
2008-01-11,140.15,46.001898489433835,0.0,126.19,76.11604200083126,0.0,94.2,141.6917637992044,0.0,0.0,29399,0,TLT,601.8560790614009,0.0,94.2,GLD,169.76796281738908,0.0,88.58,0.0,71732,0,101131,38.11
2008-01-14,141.28,46.001898489433835,0.0,127.51,76.11604200083126,0.0,94.55,141.6917637992044,0.0,0.0,29601,0,TLT,601.8560790614009,0.0,94.55,GLD,169.76796281738908,0.0,89.54,0.0,72106,0,101707,37.69
