Date,On_Price_DJIndex,On_Shares_DJIndex,On_Dividend_DJIndex,Off_Price_Treasures,Off_Shares_Treasures,Off_Dividend_Treasures,Cash,Capital,InOutCash,Bench
1900-01-31,66.13,82.01341793644518,0.0,112.06349209999999,40.828217880093,0.0,0.0,9998,0,72.99878716699999
1900-02-01,67.34,82.01341793644518,0.205387,112.06349209999999,40.828217880093,0.294166667,0.0,10098,0,74.414174167
1900-02-02,67.86,82.01341793644518,0.0,112.0796652,40.828217880093,0.0,0.0,10141,0,74.934174167
1900-02-03,67.88,82.01341793644518,0.0,112.09584299999999,40.828217880093,0.0,0.0,10143,0,74.95417416699999
1900-02-05,68.36,82.01341793644518,0.0,112.1120254,40.828217880093,0.0,0.0,10183,0,75.434174167
1900-02-06,68.03,82.01341793644518,0.0,112.1282125,40.828217880093,0.0,0.0,10157,0,75.104174167
1900-02-07,67.94,82.01341793644518,0.0,112.1444043,40.828217880093,0.0,0.0,10150,0,75.014174167
1900-02-08,67.46,82.01341793644518,0.0,112.1606008,40.828217880093,0.0,0.0,10111,0,74.53417416699999
1900-02-09,66.86,82.01341793644518,0.0,112.176802,40.828217880093,0.0,0.0,10063,0,73.934174167
1900-02-10,66.66,82.01341793644518,0.0,112.1930078,40.828217880093,0.0,0.0,10047,0,73.73417416699999
1900-02-13,67.39,82.01341793644518,0.0,112.20921829999999,40.828217880093,0.0,0.0,10108,0,74.464174167
1900-02-14,66.9,82.01341793644518,0.0,112.2254335,40.828217880093,0.0,0.0,10068,0,73.974174167
1900-02-15,67.08,82.01341793644518,0.0,112.2416534,40.828217880093,0.0,0.0,10084,0,74.154174167
1900-02-16,66.4,82.01341793644518,0.0,112.257878,40.828217880093,0.0,0.0,10028,0,73.474174167
1900-02-17,65.81,82.01341793644518,0.0,112.27410729999998,40.828217880093,0.0,0.0,9981,0,72.884174167
1900-02-19,66.25,82.01341793644518,0.0,112.2903412,40.828217880093,0.0,0.0,10018,0,73.324174167
1900-02-20,66.16,82.01341793644518,0.0,112.30657990000002,40.828217880093,0.0,0.0,10011,0,73.23417416699999
1900-02-21,65.59,82.01341793644518,0.0,112.3228233,40.828217880093,0.0,0.0,9965,0,72.664174167
1900-02-23,64.52,82.01341793644518,0.0,112.3390713,40.828217880093,0.0,0.0,9878,0,71.59417416699999
1900-02-24,64.12,82.01341793644518,0.0,112.35532409999999,40.828217880093,0.0,0.0,9845,0,71.194174167
1900-02-26,63.56,82.01341793644518,0.0,112.37158149999999,40.828217880093,0.0,0.0,9800,0,70.634174167
1900-02-27,63.35,82.01341793644518,0.0,112.38784369999999,40.828217880093,0.0,0.0,9784,0,70.424174167
1900-02-28,63.96,110.89456646608376,0.0,112.4041106,24.615563924206985,0.0,0.0,9859,0,71.034174167
1900-03-01,63.59,110.89456646608376,0.19129991699999999,112.42038219999999,24.615563924206985,0.294166667,0.0,9819,0,70.85547408400001
1900-03-02,61.95,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9637,0,69.21547408400001
1900-03-03,62.76,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9727,0,70.025474084
1900-03-05,62.12,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9656,0,69.385474084
1900-03-06,61.87,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9628,0,69.135474084
1900-03-07,61.83,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9623,0,69.095474084
1900-03-08,61.39,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9575,0,68.655474084
1900-03-09,61.11,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9544,0,68.375474084
1900-03-10,61.68,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9607,0,68.945474084
1900-03-12,63.31,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9788,0,70.575474084
1900-03-13,62.88,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9740,0,70.145474084
1900-03-14,62.03,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9646,0,69.295474084
1900-03-15,61.81,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9621,0,69.075474084
1900-03-16,61.91,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9632,0,69.175474084
1900-03-17,62.5,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9698,0,69.765474084
1900-03-19,62.91,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9743,0,70.175474084
1900-03-20,63.45,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9803,0,70.71547408400001
1900-03-21,64.08,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9873,0,71.345474084
1900-03-22,64.06,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9871,0,71.325474084
1900-03-23,63.67,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9827,0,70.935474084
1900-03-24,64.26,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9893,0,71.52547408400001
1900-03-26,64.06,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9871,0,71.325474084
1900-03-27,64.71,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9943,0,71.975474084
1900-03-28,65.12,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9988,0,72.38547408400001
1900-03-29,64.07,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,9872,0,71.335474084
1900-03-30,65.39,110.89456646608376,0.0,112.42038219999999,24.615563924206985,0.0,0.0,10018,0,72.655474084
1900-03-31,66.02,97.55030010554154,0.0,112.42038219999999,32.67013665544927,0.0,0.0,10113,0,73.285474084
1900-04-02,65.55,97.55030010554154,0.20156625,112.42038219999999,32.67013665544927,0.294166667,0.0,10067,0,73.017040334
1900-04-03,65.17,97.55030010554154,0.0,112.43595069999999,32.67013665544927,0.0,0.0,10030,0,72.637040334
1900-04-04,65.11,97.55030010554154,0.0,112.45152350000001,32.67013665544927,0.0,0.0,10025,0,72.577040334
1900-04-05,65.47,97.55030010554154,0.0,112.4671007,32.67013665544927,0.0,0.0,10060,0,72.937040334
1900-04-06,66.15,97.55030010554154,0.0,112.4826822,32.67013665544927,0.0,0.0,10127,0,73.61704033400001
1900-04-07,66.15,97.55030010554154,0.0,112.498268,32.67013665544927,0.0,0.0,10128,0,73.61704033400001
1900-04-09,65.46,97.55030010554154,0.0,112.51385810000001,32.67013665544927,0.0,0.0,10061,0,72.927040334
1900-04-10,64.55,97.55030010554154,0.0,112.52945249999999,32.67013665544927,0.0,0.0,9973,0,72.017040334
1900-04-11,64.78,97.55030010554154,0.0,112.5450513,32.67013665544927,0.0,0.0,9996,0,72.247040334
1900-04-12,64.4,97.55030010554154,0.0,112.5606544,32.67013665544927,0.0,0.0,9959,0,71.86704033400001
1900-04-16,61.55,97.55030010554154,0.0,112.5762618,32.67013665544927,0.0,0.0,9682,0,69.017040334
1900-04-17,61.8,97.55030010554154,0.0,112.5918735,32.67013665544927,0.0,0.0,9707,0,69.267040334
1900-04-18,61.82,97.55030010554154,0.0,112.6074896,32.67013665544927,0.0,0.0,9709,0,69.287040334
