Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
2007-12-31,TLT,107.47429983239303,0.0,93.04,0.0,9999,0,52.024
2008-01-02,TLT,107.47429983239303,0.0,94.38,0.0,10143,0,51.214
2008-01-03,TLT,107.47429983239303,0.0,94.25,0.0,10129,0,51.424
2008-01-04,TLT,107.47429983239303,0.0,94.27,0.0,10131,0,49.204
2008-01-07,TLT,107.47429983239303,0.0,94.68,0.0,10175,0,48.974000000000004
2008-01-08,TLT,107.47429983239303,0.0,94.57,0.0,10163,0,47.724000000000004
2008-01-09,TLT,107.47429983239303,0.0,94.75,0.0,10183,0,48.724000000000004
2008-01-10,TLT,107.47429983239303,0.0,93.47,0.0,10045,0,48.794000000000004
2008-01-11,TLT,107.47429983239303,0.0,94.2,0.0,10124,0,47.854
2008-01-14,TLT,107.47429983239303,0.0,94.55,0.0,10161,0,48.674
2008-01-15,TLT,107.47429983239303,0.0,95.61,0.0,10275,0,47.354
2008-01-16,TLT,107.47429983239303,0.0,94.92,0.0,10201,0,46.854
2008-01-17,TLT,107.47429983239303,0.0,96.15,0.0,10333,0,46.214
2008-01-18,TLT,107.47429983239303,0.0,95.49,0.0,10262,0,46.154
2008-01-22,TLT,107.47429983239303,0.0,96.51,0.0,10372,0,44.984
2008-01-23,TLT,107.47429983239303,0.0,96.29,0.0,10348,0,44.814
2008-01-24,TLT,107.47429983239303,0.0,94.36,0.0,10141,0,45.714
2008-01-25,TLT,107.47429983239303,0.0,95.95,0.0,10312,0,44.794000000000004
2008-01-28,TLT,107.47429983239303,0.0,95.59,0.0,10273,0,45.134
2008-01-29,TLT,107.47429983239303,0.0,94.94,0.0,10203,0,45.214
2008-01-30,TLT,107.47429983239303,0.0,94.32,0.0,10136,0,45.174
2008-01-31,TLT,107.46850974922638,0.0,94.99,0.0,10208,0,45.934000000000005
2008-02-01,TLT,107.46850974922638,0.329,95.23,0.0,10234,0,46.394000000000005
2008-02-04,TLT,107.46850974922638,0.0,94.25,0.0,10128,0,45.754000000000005
2008-02-05,TLT,107.46850974922638,0.0,94.97,0.0,10206,0,44.474000000000004
2008-02-06,TLT,107.46850974922638,0.0,94.68,0.0,10175,0,43.614000000000004
