Date,Open,High,Low,Close,Volume,Dividend,Momentum_1,Momentum_2,Momentum_3,Momentum_4,Momentum_5,Momentum_6,Momentum_7,Momentum_8,Momentum_9,Momentum_10
1998-05-21,10.04,10.04,10.04,10.04,0,0.0,,,,,,,,,,
1998-05-22,9.95,9.95,9.95,9.95,0,0.0,,,,,,,,,,
1998-05-26,9.8,9.8,9.8,9.8,0,0.0,,,,,,,,,,
1998-05-27,9.73,9.73,9.73,9.73,0,0.0,,,,,,,,,,
1998-05-28,9.82,9.82,9.82,9.82,0,0.0,,,,,,,,,,
1998-05-29,9.81,9.81,9.81,9.81,0,0.0,,,,,,,,,,
1998-06-01,9.72,9.72,9.72,9.72,0,0.0,0.9681274900398408,,,,,,,,,
1998-06-02,9.74,9.74,9.74,9.74,0,0.0,,,,,,,,,,
1998-06-03,9.7,9.7,9.7,9.7,0,0.0,,,,,,,,,,
1998-06-04,9.79,9.79,9.79,9.79,0,0.0,,,,,,,,,,
1998-06-05,9.86,9.86,9.86,9.86,0,0.0,,,,,,,,,,
1998-06-08,9.9,9.9,9.9,9.9,0,0.0,,,,,,,,,,
1998-06-09,9.93,9.93,9.93,9.93,0,0.0,,,,,,,,,,
1998-06-10,9.82,9.82,9.82,9.82,0,0.0,,,,,,,,,,
1998-06-11,9.7,9.7,9.7,9.7,0,0.0,,,,,,,,,,
1998-06-12,9.66,9.66,9.66,9.66,0,0.0,,,,,,,,,,
1998-06-15,9.47,9.47,9.47,9.47,0,0.0,,,,,,,,,,
1998-06-16,9.57,9.57,9.57,9.57,0,0.0,,,,,,,,,,
1998-06-17,9.69,9.69,9.69,9.69,0,0.0,,,,,,,,,,
1998-06-18,9.61,9.61,9.61,9.61,0,0.0,,,,,,,,,,
1998-06-19,9.57,9.57,9.57,9.57,0,0.0,,,,,,,,,,
1998-06-22,9.67,9.67,9.67,9.67,0,0.0,,,,,,,,,,
1998-06-23,9.77,9.77,9.77,9.77,0,0.0,,,,,,,,,,
1998-06-24,9.81,9.81,9.81,9.81,0,0.0,,,,,,,,,,
1998-06-25,9.8,9.8,9.8,9.8,0,0.0,,,,,,,,,,
1998-06-26,9.81,9.81,9.81,9.81,0,0.0,,,,,,,,,,
1998-06-29,9.9,9.9,9.9,9.9,0,0.0,,,,,,,,,,
1998-06-30,9.89,9.89,9.89,9.89,0,0.0,1.0081549439347604,,,,,,,,,
1998-07-01,10.04,10.04,10.04,10.04,0,0.0,1.0329218106995883,1.0,,,,,,,,
1998-07-02,10.03,10.03,10.03,10.03,0,0.0,,,,,,,,,,
1998-07-06,10.06,10.06,10.06,10.06,0,0.0,,,,,,,,,,
1998-07-07,10.07,10.07,10.07,10.07,0,0.0,,,,,,,,,,
1998-07-08,10.15,10.15,10.15,10.15,0,0.0,,,,,,,,,,
1998-07-09,10.15,10.15,10.15,10.15,0,0.0,,,,,,,,,,
1998-07-10,10.13,10.13,10.13,10.13,0,0.0,,,,,,,,,,
1998-07-13,10.13,10.13,10.13,10.13,0,0.0,,,,,,,,,,
1998-07-14,10.16,10.16,10.16,10.16,0,0.0,,,,,,,,,,
1998-07-15,10.22,10.22,10.22,10.22,0,0.0,,,,,,,,,,
1998-07-16,10.28,10.28,10.28,10.28,0,0.0,,,,,,,,,,
1998-07-17,10.29,10.29,10.29,10.29,0,0.0,,,,,,,,,,
1998-07-20,10.3,10.3,10.3,10.3,0,0.0,,,,,,,,,,
