Date,Open,High,Low,Close,Volume,Dividend,Momentum_1,Momentum_2,Momentum_3,Momentum_4,Momentum_5,Momentum_6,Momentum_7,Momentum_8,Momentum_9,Momentum_10
1997-07-31,5.0,5.0,5.0,5.0,0,0.0,,,,,,,,,,
1997-08-01,5.02,5.02,5.02,5.02,0,0.0,1.004,,,,,,,,,
1997-08-04,5.07,5.07,5.07,5.07,0,0.0,,,,,,,,,,
1997-08-05,5.16,5.16,5.16,5.16,0,0.0,,,,,,,,,,
1997-08-06,5.19,5.19,5.19,5.19,0,0.0,,,,,,,,,,
1997-08-07,5.2,5.2,5.2,5.2,0,0.0,,,,,,,,,,
1997-08-08,5.17,5.17,5.17,5.17,0,0.0,,,,,,,,,,
1997-08-11,5.1,5.1,5.1,5.1,0,0.0,,,,,,,,,,
1997-08-12,5.16,5.16,5.16,5.16,0,0.0,,,,,,,,,,
1997-08-13,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,,,
1997-08-14,5.2,5.2,5.2,5.2,0,0.0,,,,,,,,,,
1997-08-15,5.17,5.17,5.17,5.17,0,0.0,,,,,,,,,,
1997-08-18,5.19,5.19,5.19,5.19,0,0.0,,,,,,,,,,
1997-08-19,5.17,5.17,5.17,5.17,0,0.0,,,,,,,,,,
1997-08-20,5.15,5.15,5.15,5.15,0,0.0,,,,,,,,,,
1997-08-21,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,,,
1997-08-22,5.12,5.12,5.12,5.12,0,0.0,,,,,,,,,,
1997-08-25,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,,,
1997-08-26,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,,,
1997-08-27,5.22,5.22,5.22,5.22,0,0.0,,,,,,,,,,
1997-08-28,5.23,5.23,5.23,5.23,0,0.0,,,,,,,,,,
1997-08-29,5.22,5.22,5.22,5.22,0,0.0,1.044,,,,,,,,,
1997-09-02,5.29,5.29,5.29,5.29,0,0.0,1.053784860557769,1.058,,,,,,,,
1997-09-03,5.36,5.36,5.36,5.36,0,0.0,,,,,,,,,,
1997-09-04,5.42,5.42,5.42,5.42,0,0.0,,,,,,,,,,
1997-09-05,5.43,5.43,5.43,5.43,0,0.0,,,,,,,,,,
1997-09-08,5.47,5.47,5.47,5.47,0,0.0,,,,,,,,,,
1997-09-09,5.45,5.45,5.45,5.45,0,0.0,,,,,,,,,,
1997-09-10,5.46,5.46,5.46,5.46,0,0.0,,,,,,,,,,
1997-09-11,5.44,5.44,5.44,5.44,0,0.0,,,,,,,,,,
1997-09-12,5.48,5.48,5.48,5.48,0,0.0,,,,,,,,,,
1997-09-15,5.49,5.49,5.49,5.49,0,0.0,,,,,,,,,,
1997-09-16,5.52,5.52,5.52,5.52,0,0.0,,,,,,,,,,
1997-09-17,5.49,5.49,5.49,5.49,0,0.0,,,,,,,,,,
1997-09-18,5.46,5.46,5.46,5.46,0,0.0,,,,,,,,,,
1997-09-19,5.53,5.53,5.53,5.53,0,0.0,,,,,,,,,,
1997-09-22,5.58,5.58,5.58,5.58,0,0.0,,,,,,,,,,
1997-09-23,5.57,5.57,5.57,5.57,0,0.0,,,,,,,,,,
1997-09-24,5.58,5.58,5.58,5.58,0,0.0,,,,,,,,,,
1997-09-25,5.54,5.54,5.54,5.54,0,0.0,,,,,,,,,,
1997-09-26,5.57,5.57,5.57,5.57,0,0.0,,,,,,,,,,
1997-09-29,5.58,5.58,5.58,5.58,0,0.0,,,,,,,,,,
1997-09-30,5.64,5.64,5.64,5.64,0,0.0,1.0804597701149425,1.128,,,,,,,,
1997-10-01,5.65,5.65,5.65,5.65,0,0.0,1.0680529300567108,1.1254980079681276,1.1300000000000001,,,,,,,
1997-10-02,5.7,5.7,5.7,5.7,0,0.0,,,,,,,,,,
1997-10-03,5.71,5.71,5.71,5.71,0,0.0,,,,,,,,,,
1997-10-06,5.77,5.77,5.77,5.77,0,0.0,,,,,,,,,,
1997-10-07,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,,,
1997-10-08,5.77,5.77,5.77,5.77,0,0.0,,,,,,,,,,
1997-10-09,5.77,5.77,5.77,5.77,0,0.0,,,,,,,,,,
1997-10-10,5.79,5.79,5.79,5.79,0,0.0,,,,,,,,,,
1997-10-13,5.77,5.77,5.77,5.77,0,0.0,,,,,,,,,,
1997-10-14,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,,,
1997-10-15,5.81,5.81,5.81,5.81,0,0.0,,,,,,,,,,
1997-10-16,5.73,5.73,5.73,5.73,0,0.0,,,,,,,,,,
1997-10-17,5.59,5.59,5.59,5.59,0,0.0,,,,,,,,,,
1997-10-20,5.68,5.68,5.68,5.68,0,0.0,,,,,,,,,,
1997-10-21,5.74,5.74,5.74,5.74,0,0.0,,,,,,,,,,
1997-10-22,5.73,5.73,5.73,5.73,0,0.0,,,,,,,,,,
1997-10-23,5.58,5.58,5.58,5.58,0,0.0,,,,,,,,,,
1997-10-24,5.57,5.57,5.57,5.57,0,0.0,,,,,,,,,,
1997-10-27,5.22,5.22,5.22,5.22,0,0.0,,,,,,,,,,
1997-10-28,5.37,5.37,5.37,5.37,0,0.0,,,,,,,,,,
1997-10-29,5.45,5.45,5.45,5.45,0,0.0,,,,,,,,,,
1997-10-30,5.4,5.4,5.4,5.4,0,0.0,,,,,,,,,,
1997-10-31,5.46,5.46,5.46,5.46,0,0.0,0.9680851063829787,1.0459770114942528,1.092,,,,,,,
1997-11-03,5.53,5.53,5.53,5.53,0,0.0,0.9787610619469026,1.0453686200378072,1.101593625498008,1.106,,,,,,
1997-11-04,5.6,5.6,5.6,5.6,0,0.0,,,,,,,,,,
1997-11-05,5.65,5.65,5.65,5.65,0,0.0,,,,,,,,,,
1997-11-06,5.64,5.64,5.64,5.64,0,0.0,,,,,,,,,,
1997-11-07,5.57,5.57,5.57,5.57,0,0.0,,,,,,,,,,
1997-11-10,5.56,5.56,5.56,5.56,0,0.0,,,,,,,,,,
1997-11-11,5.53,5.53,5.53,5.53,0,0.0,,,,,,,,,,
1997-11-12,5.39,5.39,5.39,5.39,0,0.0,,,,,,,,,,
1997-11-13,5.35,5.35,5.35,5.35,0,0.0,,,,,,,,,,
1997-11-14,5.4,5.4,5.4,5.4,0,0.0,,,,,,,,,,
1997-11-17,5.46,5.46,5.46,5.46,0,0.0,,,,,,,,,,
1997-11-18,5.44,5.44,5.44,5.44,0,0.0,,,,,,,,,,
1997-11-19,5.41,5.41,5.41,5.41,0,0.0,,,,,,,,,,
1997-11-20,5.38,5.38,5.38,5.38,0,0.0,,,,,,,,,,
1997-11-21,5.38,5.38,5.38,5.38,0,0.0,,,,,,,,,,
1997-11-24,5.26,5.26,5.26,5.26,0,0.0,,,,,,,,,,
1997-11-25,5.25,5.25,5.25,5.25,0,0.0,,,,,,,,,,
1997-11-26,5.3,5.3,5.3,5.3,0,0.0,,,,,,,,,,
1997-11-28,5.31,5.31,5.31,5.31,0,0.0,0.9725274725274725,0.9414893617021276,1.0172413793103448,1.0619999999999998,,,,,,
1997-12-01,5.33,5.33,5.33,5.33,0,0.0,0.9638336347197106,0.9433628318584071,1.007561436672968,1.061752988047809,1.066,,,,,
1997-12-02,5.31,5.31,5.31,5.31,0,0.0,,,,,,,,,,
1997-12-03,5.28,5.28,5.28,5.28,0,0.0,,,,,,,,,,
1997-12-04,5.23,5.23,5.23,5.23,0,0.0,,,,,,,,,,
1997-12-05,5.23,5.23,5.23,5.23,0,0.0,,,,,,,,,,
1997-12-08,5.2,5.2,5.2,5.2,0,0.0,,,,,,,,,,
1997-12-09,5.18,5.18,5.18,5.18,0,0.0,,,,,,,,,,
1997-12-10,5.1,5.1,5.1,5.1,0,0.0,,,,,,,,,,
1997-12-11,5.0,5.0,5.0,5.0,0,0.0,,,,,,,,,,
1997-12-12,4.98,4.98,4.98,4.98,0,0.0,,,,,,,,,,
1997-12-15,4.91,4.91,4.91,4.91,0,0.0,,,,,,,,,,
1997-12-16,4.92,4.92,4.92,4.92,0,0.0,,,,,,,,,,
1997-12-17,4.95,4.95,4.95,4.95,0,0.0,,,,,,,,,,
1997-12-18,4.91,4.91,4.91,4.91,0,0.0,,,,,,,,,,
1997-12-19,4.89,4.89,4.89,4.89,0,0.0,,,,,,,,,,
1997-12-22,4.86,4.86,4.86,4.86,0,0.0,,,,,,,,,,
1997-12-23,4.84,4.84,4.84,4.84,0,0.0,,,,,,,,,,
1997-12-24,4.85,4.85,4.85,4.85,0,0.0,,,,,,,,,,
1997-12-26,4.85,4.85,4.85,4.85,0,0.0,,,,,,,,,,
