Date,Close,SMA_200
5/4/1994,4.25,
5/5/1994,4.214285714,
5/6/1994,4.173267327,
5/9/1994,4.217611336,
5/10/1994,4.184262948,
5/11/1994,4.121902874,
5/12/1994,4.123274162,
5/13/1994,4.093933464,
5/16/1994,4.086829268,
5/17/1994,4.112621359,
5/18/1994,4.031102733,
5/19/1994,3.995357474,
5/20/1994,3.939393939,
5/23/1994,3.917506874,
5/24/1994,3.924977127,
5/25/1994,3.91810737,
5/26/1994,3.917347866,
5/27/1994,3.916515426,
5/31/1994,3.898642534,
6/1/1994,3.926363636,
6/2/1994,3.978821363,
6/3/1994,3.974382434,
6/6/1994,3.908025248,
6/7/1994,3.920289855,
6/8/1994,3.942465753,
6/9/1994,3.954296161,
6/10/1994,3.943585077,
6/13/1994,3.980733945,
6/14/1994,4.004582951,
6/15/1994,3.985347985,
6/16/1994,4.012867647,
6/17/1994,3.96431839,
6/20/1994,3.975069252,
6/21/1994,4.001876173,
6/22/1994,4,
6/23/1994,4.003787879,
6/24/1994,3.974236641,
6/27/1994,3.978032474,
6/28/1994,3.998095238,
6/29/1994,3.970782281,
6/30/1994,3.955534532,
7/1/1994,3.991444867,
7/5/1994,3.976348155,
7/6/1994,3.944600939,
7/7/1994,3.931098696,
7/8/1994,3.941340782,
7/11/1994,3.9283054,
7/12/1994,3.92372093,
7/13/1994,3.927509294,
7/14/1994,3.913840513,
7/15/1994,3.895264117,
7/18/1994,3.884650318,
7/19/1994,3.907678245,
7/20/1994,3.867272727,
7/21/1994,3.896709324,
7/22/1994,3.883530482,
7/25/1994,3.875905797,
7/26/1994,3.824529991,
7/27/1994,3.763459841,
7/28/1994,3.767605634,
7/29/1994,3.784399649,
8/1/1994,3.748058671,
8/2/1994,3.675972927,
8/3/1994,3.650167785,
8/4/1994,3.611528822,
8/5/1994,3.583541147,
8/8/1994,3.581260365,
8/9/1994,3.595673877,
8/10/1994,3.610972569,
8/11/1994,3.588235294,
8/12/1994,3.594394064,
8/15/1994,3.572600492,
8/16/1994,3.575732899,
8/17/1994,3.5136,
8/18/1994,3.479713604,
8/19/1994,3.461660079,
8/22/1994,3.39844358,
8/23/1994,3.414785992,
8/24/1994,3.475294118,
8/25/1994,3.465517241,
8/26/1994,3.537124803,
8/29/1994,3.537066246,
8/30/1994,3.512880562,
8/31/1994,3.502727981,
9/1/1994,3.457496136,
