Date,Open,High,Low,Close,Volume,Dividend,Momentum_1,Momentum_3,Momentum_6,Momentum_2,Momentum_4,Momentum_7,Momentum_5,Momentum_8,Momentum_9,Momentum_10,Momentum_12
1985-01-02,19.31,19.31,19.31,19.31,0,0.0,,,,,,,,,,,
1985-01-03,19.21,19.21,19.21,19.21,0,0.0,,,,,,,,,,,
1985-01-04,19.11,19.11,19.11,19.11,0,0.0,,,,,,,,,,,
1985-01-07,19.16,19.16,19.16,19.16,0,0.0,,,,,,,,,,,
1985-01-08,19.13,19.13,19.13,19.13,0,0.0,,,,,,,,,,,
1985-01-09,19.28,19.28,19.28,19.28,0,0.0,,,,,,,,,,,
1985-01-10,19.65,19.65,19.65,19.65,0,0.0,,,,,,,,,,,
1985-01-11,19.6,19.6,19.6,19.6,0,0.0,,,,,,,,,,,
1985-01-14,19.9,19.9,19.9,19.9,0,0.0,,,,,,,,,,,
1985-01-15,19.94,19.94,19.94,19.94,0,0.0,,,,,,,,,,,
1985-01-16,19.99,19.99,19.99,19.99,0,0.0,,,,,,,,,,,
1985-01-17,19.93,19.93,19.93,19.93,0,0.0,,,,,,,,,,,
1985-01-18,20.0,20.0,20.0,20.0,0,0.0,,,,,,,,,,,
1985-01-21,20.45,20.45,20.45,20.45,0,0.0,,,,,,,,,,,
1985-01-22,20.49,20.49,20.49,20.49,0,0.0,,,,,,,,,,,
1985-01-23,20.69,20.69,20.69,20.69,0,0.0,,,,,,,,,,,
1985-01-24,20.62,20.62,20.62,20.62,0,0.0,,,,,,,,,,,
1985-01-25,20.7,20.7,20.7,20.7,0,0.0,,,,,,,,,,,
1985-01-28,20.71,20.71,20.71,20.71,0,0.0,,,,,,,,,,,
1985-01-29,20.92,20.92,20.92,20.92,0,0.0,,,,,,,,,,,
1985-01-30,20.95,20.95,20.95,20.95,0,0.0,,,,,,,,,,,
1985-01-31,21.0,21.0,21.0,21.0,0,0.0,,,,,,,,,,,
1985-02-01,20.88,20.88,20.88,20.88,0,0.0,1.0813050233039876,,,,,,,,,,
1985-02-04,21.11,21.11,21.11,21.11,0,0.0,,,,,,,,,,,
1985-02-05,21.14,21.14,21.14,21.14,0,0.0,,,,,,,,,,,
1985-02-06,21.13,21.13,21.13,21.13,0,0.0,,,,,,,,,,,
1985-02-07,21.3,21.3,21.3,21.3,0,0.0,,,,,,,,,,,
1985-02-08,21.35,21.35,21.35,21.35,0,0.0,,,,,,,,,,,
1985-02-11,21.16,21.16,21.16,21.16,0,0.0,,,,,,,,,,,
1985-02-12,21.17,21.17,21.17,21.17,0,0.0,,,,,,,,,,,
1985-02-13,21.5,21.5,21.5,21.5,0,0.0,,,,,,,,,,,
1985-02-14,21.39,21.39,21.39,21.39,0,0.0,,,,,,,,,,,
